@ HyperIMU - ianovir
@ Date:Sun Jul 19 20:21:10 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595161270458,0.0,0.0,0.0,0.0,0.0,0.0
1595161270559,-0.27207947,-0.011856079,0.024551392,-0.055248022,0.0651598,-0.43360448
1595161270659,-0.09370422,-0.10102844,-0.08418274,0.042250752,0.22142696,0.06730026
1595161270761,-0.81573486,0.037017822,-0.3065338,0.53785694,0.26592827,0.07804103
1595161270862,-1.5890961,0.13476562,-0.34440613,1.206959,-0.51932144,-1.2031854
1595161270964,-1.5426636,0.14085388,-0.32363892,-0.14403903,-0.7339411,-0.86128926
1595161271063,-1.4705963,-0.14988708,-0.26010132,0.124415725,-0.7542267,-1.1471264
1595161271164,-1.3911743,0.06878662,-0.12083435,1.201256,-0.68836784,-0.799109
1595161271265,-1.2665558,0.78471375,0.24690247,-0.023429632,-1.0671744,0.20551682
1595161271365,-1.1113892,0.92276,0.30552673,-2.2900128,-1.5206532,0.8018198
1595161271466,-1.1419525,0.9325409,0.13571167,-2.1693397,-1.447691,0.25634575
1595161271565,-0.89637756,0.5415802,0.09295654,-2.9334996,-1.2642779,0.7474375
1595161271666,-0.23175049,0.21539307,0.014785767,-1.9426789,-1.9105115,1.4719467
1595161271767,0.07975769,-0.22929382,-0.049972534,-1.7484097,-1.2363477,0.9048948
1595161271867,0.33509827,-0.19631958,-0.03164673,-0.9892471,-1.5824964,0.64049625
1595161271971,0.60754395,-0.53352356,-0.18437195,-1.3563731,-1.1213565,0.31350994
1595161272070,0.5256958,-0.66545105,-0.21612549,1.240808,1.1122665,-0.3585968
1595161272171,0.38153076,-0.8474884,-0.44215393,0.91777277,1.5003409,-1.4243221
1595161272273,0.10786438,-0.5102844,-0.22711182,2.3507442,1.4658504,-1.741148
1595161272373,-0.07293701,-0.29039,-0.2039032,1.6455622,0.9552517,-1.2865505
1595161272474,-0.18409729,0.043121338,-0.08418274,2.021905,1.2754083,-1.2541828
1595161272573,-0.118133545,0.6466522,0.14427185,2.7626188,1.0484605,-0.5007467
1595161272674,-0.27207947,0.73095703,0.44480896,-1.4842949,1.0396714,-0.040564537
1595161272775,-0.575058,0.7285156,0.39961243,-1.5328128,-1.078136,-0.22851944
1595161272876,-0.32460022,0.7297363,0.20045471,-2.8557818,-1.2331119,0.32493305
1595161272977,-0.15356445,0.2141571,0.18458557,-1.5509484,-1.3452282,0.10887432
1595161273078,-0.013061523,0.08711243,0.15281677,-1.5704846,-1.4739041,0.9276848
1595161273178,0.1298523,-0.13523865,0.046554565,-1.7451692,-1.1214242,0.7400427
1595161273279,0.43650818,-0.23297119,0.034317017,-1.5979829,-1.3695645,0.59057903
1595161273380,0.573349,-0.31115723,-0.16113281,0.5840752,-0.39532948,0.31737328
1595161273481,0.32899475,-0.74975586,-0.35905457,0.04133296,1.3768735,-1.0141134
1595161273580,0.276474,-0.8609314,-0.3505249,2.0469398,1.240664,-0.8556328
1595161273681,0.131073,-0.2696228,-0.15260315,1.8263333,1.3238001,-1.6186638
1595161273782,-0.054611206,-0.16455078,-0.122039795,1.5720234,1.4806261,-1.4424057
1595161273883,-0.12911987,0.05166626,-0.08050537,2.1538239,1.4989653,-1.0612364
1595161273984,-0.114471436,0.49516296,0.2090149,1.734587,1.3333664,-0.16468048
1595161274085,-0.4309082,0.44628906,0.3617401,-2.2948954,-0.12654352,0.14797592
1595161274186,-0.47120667,0.55870056,0.41549683,-1.4741579,-2.0296402,0.75471973
1595161274287,-0.19633484,0.40475464,0.06730652,-3.1483738,-0.5715089,0.260314
1595161274388,-0.06071472,-0.07171631,0.030670166,-1.4946077,-1.3916044,0.476017
1595161274490,0.041900635,-0.06803894,0.04776001,-0.9607904,-1.2326574,0.40551853
1595161274587,0.1946106,-0.114471436,0.10884094,-1.2706633,-1.3286014,0.35297012
1595161274690,0.41329956,-0.24761963,0.04043579,-0.86609554,-1.2599902,0.32628918
1595161274791,0.32899475,-0.41989136,-0.24055481,-0.738487,0.32434082,0.2726984
1595161274892,0.30944824,-0.627594,-0.53744507,1.1301172,1.546557,-1.0628719
1595161274994,0.1335144,-0.38813782,-0.42871094,2.5964394,2.17101,-1.364461
