time,ax,ay,az,wx,wy,wz
0,0.06,0.03,-0.11,-0.02,0,0.01
0.003,0.06,0.03,-0.11,-0.02,0,0.01
0.003,0.07,0.02,-0.11,-0.02,0,0.01
0.005,0.07,0.02,-0.11,-0.02,0,0.01
0.008,0.06,0.03,-0.09,-0.02,0,0.01
0.008,0.06,0.03,-0.09,-0.03,0,0.01
0.01,0.06,0.03,-0.09,-0.02,-0.01,0.01
0.019,0.07,0.03,-0.08,-0.02,-0.01,0.01
0.02,0.07,0.03,-0.08,-0.03,-0.01,0.01
0.02,0.07,0.03,-0.08,-0.03,0,0.01
0.02,0.05,0,-0.06,-0.03,0,0.01
0.021,0.05,0,-0.06,-0.03,-0.01,0.01
0.021,0.05,0,-0.06,-0.03,-0.01,0.01
0.023,0.03,-0.01,-0.07,-0.03,-0.01,0.01
0.024,0.03,-0.01,-0.07,-0.03,0,0.01
0.025,0.03,-0.01,-0.07,-0.03,0,0.01
0.027,0.01,-0.03,-0.04,-0.03,0,0.01
0.028,0.01,-0.03,-0.04,-0.03,0,0.01
0.031,0.01,-0.03,-0.04,-0.03,0,0.01
0.033,0.01,-0.03,-0.04,-0.03,0,0.01
0.034,0,-0.03,-0.02,-0.03,0,0.01
0.035,0,-0.03,-0.02,-0.03,0,0.01
0.037,-0.03,-0.02,-0.04,-0.03,0,0.01
0.038,-0.03,-0.02,-0.04,-0.03,0,0.01
0.04,-0.03,-0.02,-0.04,-0.02,0,0.01
0.042,-0.01,-0.01,-0.03,-0.02,0,0.01
0.042,-0.01,-0.01,-0.03,-0.02,0,0.01
0.044,-0.01,-0.01,-0.03,-0.03,0,0.01
0.047,-0.02,-0.01,-0.03,-0.03,0,0.01
0.048,-0.02,-0.01,-0.03,-0.03,0,0
0.076,-0.02,-0.01,-0.03,-0.03,0,0.01
0.076,-0.02,-0.01,-0.03,-0.02,0,0.01
0.077,-0.01,0.02,-0.05,-0.02,0,0.01
0.077,-0.01,0.02,-0.05,-0.03,0,0
0.078,-0.01,0.02,-0.05,-0.03,0,0.01
0.078,-0.02,0.02,-0.04,-0.03,0,0.01
0.079,-0.02,0.02,-0.04,-0.03,0.01,0
0.079,-0.01,0.05,-0.04,-0.03,0.01,0
0.08,-0.01,0.05,-0.04,-0.03,0,0
0.08,-0.01,0.05,-0.04,-0.03,0,0
0.08,-0.01,0.05,-0.07,-0.03,0,0
0.081,-0.01,0.05,-0.07,-0.03,0,0
0.081,-0.01,0.05,-0.07,-0.03,0,0
0.082,0,0.04,-0.08,-0.03,0,0
0.082,0,0.04,-0.08,-0.03,0,0
0.083,0,0.04,-0.08,-0.03,0.01,0
0.083,0.02,0.04,-0.07,-0.03,0.01,0
0.084,0.02,0.04,-0.07,-0.04,0.01,0
0.084,0.02,0.04,-0.07,-0.03,0.01,0
0.084,0.04,0.04,-0.05,-0.03,0.01,0
0.084,0.04,0.04,-0.05,-0.03,0,0
