time,ax,ay,az,wx,wy,wz
0.006,0.04,0.04,-0.08,0.01,0,0
0.006,0.04,0.04,-0.08,0.01,0,0.01
0.007,0.04,0.04,-0.08,0,0,0.01
0.007,0.05,0.02,-0.07,0,0,0.01
0.007,0.05,0.02,-0.07,0.01,0,0.01
0.009,0.05,0.02,-0.07,0,0.01,0.01
0.011,0.05,0.02,-0.07,0,0.01,0.01
0.012,0.05,0.02,-0.07,0,0,0
0.014,0.05,0.02,-0.07,0.01,0,0
0.016,0.06,0.01,-0.05,0.01,0,0
0.017,0.06,0.01,-0.05,0,0,0.01
0.019,0.06,0.01,-0.05,0.01,0,0
0.021,0.06,0.01,-0.05,0.01,0,0
0.022,0.04,0.01,-0.07,0.01,0,0
0.024,0.04,0.01,-0.07,0.01,0,0.01
0.026,0.04,0.01,-0.07,0,0,0.01
0.026,0.04,0,-0.03,0,0,0.01
0.028,0.04,0,-0.03,0.01,0,0.01
0.031,0.04,0,-0.03,0.01,0.01,0.01
0.031,0.05,-0.02,-0.04,0.01,0.01,0.01
0.033,0.05,-0.02,-0.04,0.01,0,0.01
0.036,0.05,-0.02,-0.04,0.01,0,0.01
0.037,0.07,-0.04,-0.04,0.01,0,0.01
0.039,0.07,-0.04,-0.04,0.01,0,0.01
0.04,0.07,-0.04,-0.04,0.01,0,0.01
0.041,0.07,-0.04,-0.04,0.01,0.01,0.01
0.043,0.07,-0.04,-0.04,0.01,0.01,0.01
0.046,0.07,-0.04,-0.04,0.01,0.01,0
0.046,0.04,-0.04,-0.05,0.01,0.01,0
0.048,0.04,-0.04,-0.05,0.01,0.01,0.01
0.05,0.02,-0.03,-0.04,0.01,0.01,0.01
0.072,0.02,-0.03,-0.04,0.01,0.01,0.01
0.073,0.02,-0.03,-0.04,0.01,0.01,0.01
0.073,0.01,-0.02,-0.06,0.01,0.01,0.01
0.073,0.01,-0.02,-0.06,0.01,0.01,0
0.073,0.01,-0.02,-0.06,0.01,0.01,0
0.074,0.02,0,-0.06,0.01,0.01,0
0.074,0.02,0,-0.06,0.01,0.01,0.01
0.074,0.02,0,-0.06,0.01,0.01,0.01
0.074,0.03,-0.01,-0.06,0.01,0.01,0.01
0.075,0.03,-0.01,-0.06,0.01,0.01,0.01
0.075,0.03,-0.01,-0.06,0.01,0.01,0.01
0.075,0.03,-0.01,-0.06,0.01,0.01,0.01
0.075,0.03,0,-0.05,0.01,0.01,0.01
0.076,0.03,0,-0.05,0.01,0.01,0.01
0.076,0.03,0,-0.05,0.01,0.01,0.01
0.076,0.02,0,-0.05,0.01,0.01,0.01
0.077,0.02,0,-0.05,0.01,0,0.01
