time,ax,ay,az,wx,wy,wz
0.039,0.02,-0.01,-0.13,0,0.02,-0.01
0.04,0.04,-0.02,-0.11,0,0.02,-0.01
0.04,0.04,-0.02,-0.11,-0.01,0.02,-0.01
0.041,0.04,-0.02,-0.11,-0.01,0.02,-0.01
0.042,0.05,-0.04,-0.11,-0.01,0.02,-0.01
0.042,0.05,-0.04,-0.11,-0.01,0.02,-0.01
0.043,0.05,-0.04,-0.11,-0.01,0.02,-0.01
0.043,0.02,-0.03,-0.07,-0.01,0.02,-0.01
0.044,0.02,-0.03,-0.07,-0.01,0.02,-0.01
0.044,0.02,-0.03,-0.07,-0.01,0.01,-0.01
0.045,0.03,-0.03,-0.04,-0.01,0.01,-0.01
0.045,0.03,-0.03,-0.04,-0.01,0.01,-0.01
0.045,0.03,-0.03,-0.04,-0.01,0.01,-0.01
0.046,0.03,-0.03,-0.04,-0.01,0.01,-0.01
0.046,0.02,-0.03,-0.01,-0.01,0.01,-0.01
0.047,0.02,-0.03,-0.01,0,0.01,-0.01
0.047,0.02,-0.03,-0.01,0,0.01,-0.01
0.047,0,-0.04,0.02,0,0.01,-0.01
0.048,0,-0.04,0.02,0,0.01,-0.01
0.048,0,-0.04,0.01,0,0.01,-0.01
0.049,0,-0.04,0.01,0,0.01,-0.01
0.049,0,-0.04,0.01,0,0.01,-0.01
0.049,0.02,-0.04,0.01,0,0.01,-0.01
0.05,0.02,-0.04,0.01,0.01,0.01,-0.01
0.05,0.02,-0.04,0.01,0.01,0.02,-0.01
0.051,0.03,-0.04,-0.02,0.01,0.02,-0.01
0.051,0.03,-0.04,-0.02,0.01,0.01,-0.01
0.052,0.03,-0.04,-0.02,0.01,0.01,-0.01
0.052,0.01,-0.03,-0.03,0.01,0.01,-0.01
0.052,0.01,-0.03,-0.03,0.01,0.02,-0.01
0.053,0.01,-0.03,-0.03,0.01,0.01,-0.01
0.053,0.06,-0.03,-0.06,0.01,0.01,-0.01
0.054,0.06,-0.03,-0.06,0.01,0.02,-0.02
0.054,0.06,-0.03,-0.06,0.01,0.02,-0.02
0.064,-0.05,-0.02,-0.06,0.01,0.02,-0.02
0.065,-0.05,-0.02,-0.06,0.01,0.02,-0.01
0.065,-0.05,-0.02,-0.06,0.02,0.02,-0.02
0.065,0.01,0.03,-0.06,0.02,0.02,-0.02
0.065,0.01,0.03,-0.06,0.02,0.02,-0.02
0.066,0.01,0.03,-0.06,0.02,0.02,-0.02
0.066,-0.02,-0.04,-0.08,0.02,0.02,-0.02
0.066,-0.02,-0.04,-0.08,0.02,0.02,-0.02
0.074,-0.02,-0.04,-0.08,0.02,0.02,-0.02
0.074,-0.05,-0.02,-0.03,0.02,0.02,-0.02
0.075,-0.05,-0.02,-0.03,0.02,0.02,-0.02
0.075,-0.05,-0.02,-0.03,0.02,0.02,-0.02
0.075,-0.05,-0.02,-0.03,0.02,0.01,-0.01
0.076,-0.04,0.01,-0.05,0.02,0.01,-0.01
0.078,-0.04,0.01,-0.05,0.02,0.01,-0.01
0.081,-0.03,-0.02,-0.06,0.02,0.01,-0.01
0.081,-0.03,-0.02,-0.06,0.02,0.02,-0.01
0.083,-0.03,-0.02,-0.06,0.02,0.02,-0.02
0.086,-0.03,-0.02,-0.06,0.02,0.02,-0.01
0.086,0.02,-0.04,-0.09,0.02,0.02,-0.01
0.088,0.02,-0.04,-0.09,0.02,0.01,-0.01
0.091,0.02,-0.04,-0.09,0.02,0.01,-0.01
0.092,-0.04,-0.01,-0.06,0.02,0.01,-0.01
0.094,-0.04,-0.01,-0.06,0.02,0.01,-0.01
0.095,-0.04,-0.01,-0.06,0.02,0.01,-0.01
0.095,0.01,-0.02,-0.06,0.02,0.01,-0.01
0.099,0.01,-0.02,-0.06,0.02,0.01,-0.01
0.1,0.01,-0.05,-0.03,0.02,0.01,-0.01
0.1,0.01,-0.05,-0.03,0.02,0.01,-0.01
0.102,0.01,-0.05,-0.03,0.02,0,-0.01
0.105,0.01,-0.04,-0.02,0.02,0,-0.01
0.105,0.01,-0.04,-0.02,0.02,0,-0.01
0.108,0.01,-0.04,-0.02,0.02,0,-0.01
0.109,0.01,-0.04,-0.02,0.03,-0.01,-0.01
0.11,0.04,-0.04,-0.02,0.03,-0.01,-0.01
0.112,0.04,-0.04,-0.02,0.03,0,-0.01
0.114,0.02,-0.02,0.01,0.03,0,-0.01
0.114,0.02,-0.02,0.01,0.03,-0.01,-0.01
0.117,0.02,-0.02,0.01,0.03,-0.01,-0.01
0.122,0.02,-0.02,0.01,0.03,-0.01,-0.01
0.122,-0.01,-0.02,0.01,0.03,-0.01,-0.01
0.123,-0.01,-0.02,0.01,0.03,-0.01,0
0.124,-0.01,-0.02,0.01,0.03,-0.01,0
0.125,-0.03,-0.02,0.03,0.03,-0.01,0
0.127,-0.03,-0.02,0.03,0.03,-0.01,0
0.129,-0.03,-0.02,0.03,0.03,-0.01,0
0.13,-0.03,-0.02,0.03,0.03,-0.01,0
0.132,-0.03,-0.02,0.03,0.03,-0.01,0
0.135,-0.04,-0.02,0.01,0.03,-0.01,0
0.135,-0.04,-0.02,0.01,0.04,-0.02,0
0.136,-0.04,-0.02,0.01,0.04,-0.01,0
0.139,-0.04,-0.02,0.01,0.04,-0.02,0.01
0.139,-0.04,-0.03,-0.01,0.04,-0.02,0.01
0.142,-0.04,-0.03,-0.01,0.04,-0.01,0.01
0.143,-0.02,-0.01,-0.01,0.04,-0.01,0.01
0.144,-0.02,-0.01,-0.01,0.04,-0.02,0.01
