time,ax,ay,az,wx,wy,wz
0.001,0.05,-0.03,0.07,0,0.03,0
0.001,0.05,-0.03,0.06,0,0.03,0
0.002,0.05,-0.03,0.06,0,0.03,0
0.006,0.05,-0.03,0.06,0,0.03,0
0.006,0.06,-0.03,0.04,0,0.03,0
0.008,0.06,-0.03,0.04,0,0.02,0
0.011,0.06,-0.03,0.04,0,0.03,0
0.012,0.05,-0.02,0.02,0,0.03,0
0.012,0.05,-0.02,0.02,0,0.03,0
0.015,0.05,-0.02,0.02,0,0.03,0
0.015,0.05,-0.02,0,0,0.03,0
0.018,0.05,-0.02,0,0,0.02,0
0.021,0.05,-0.02,0,0,0.02,0
0.021,0.04,-0.03,0,0,0.02,0
0.022,0.04,-0.03,0,0,0.02,0
0.025,0.04,-0.03,0,0,0.02,0
0.025,0.02,-0.02,0.01,0,0.02,0
0.027,0.02,-0.02,0.01,0,0.02,0
0.03,0.02,-0.02,-0.02,0,0.02,0
0.03,0.02,-0.02,-0.02,0,0.02,0
0.032,0.02,-0.02,-0.02,0.01,0.02,0
0.034,0.02,-0.02,-0.02,0.01,0.02,0
0.035,0.03,-0.01,-0.03,0.01,0.02,0
0.037,0.03,-0.01,-0.03,0.01,0.02,0
0.039,0.03,-0.01,-0.03,0.01,0.02,0
0.045,0.09,-0.02,-0.05,0.01,0.02,0
0.046,0.09,-0.02,-0.05,0.01,0.01,0
0.046,0.09,-0.02,-0.05,0,0.01,0
0.047,-0.07,0.01,-0.05,0,0.01,0
0.047,-0.07,0.01,-0.05,0.01,0.01,0
0.05,-0.07,0.01,-0.05,0.01,0.01,0
0.051,-0.04,0,-0.01,0.01,0.01,0
0.052,-0.04,0,-0.01,0,0.01,0
0.053,-0.04,0,-0.01,0.01,0.01,0
0.054,-0.04,0.02,-0.02,0.01,0.01,0
0.057,-0.04,0.02,-0.02,0,0.01,0
0.06,-0.06,0,-0.01,0,0.01,0
0.06,-0.06,0,-0.01,0,0.01,0
0.061,-0.06,0,-0.01,0,0.01,0
