time,ax,ay,az,wx,wy,wz
0.185,0.03,0.01,-0.14,-0.01,0,0.01
0.185,0.03,0.03,-0.13,-0.01,0,0.01
0.187,0.03,0.03,-0.13,-0.01,0,0.01
0.189,0.03,0.01,-0.04,-0.01,0,0.01
0.189,0.03,0.01,-0.04,-0.01,0,0.01
0.191,0.03,0.01,-0.04,-0.01,0.01,0.01
0.194,0.04,0.01,0.02,-0.01,0.01,0.01
0.194,0.04,0.01,0.02,-0.01,0,0.01
0.197,0.04,0.01,0.02,-0.01,0,0.01
0.199,0.06,0,0,-0.01,0,0.01
0.199,0.06,0,0,-0.01,0,0.01
0.201,0.06,0,0,-0.01,0,0.01
0.204,0.07,0.01,-0.01,-0.01,0,0.01
0.204,0.07,0.01,-0.01,-0.01,0,0.01
0.206,0.07,0.01,-0.01,-0.01,0,0.01
0.209,0.06,-0.01,0,-0.01,0,0.01
0.209,0.06,-0.01,0,-0.01,0,0.01
0.214,0.06,-0.01,0,-0.01,0,0.01
0.215,0.06,-0.02,-0.02,-0.01,0,0.01
0.215,0.06,-0.02,-0.02,-0.01,0,0.01
0.216,0.06,-0.02,-0.02,-0.01,0,0.01
0.219,0.04,-0.03,-0.04,-0.01,0,0.01
0.219,0.04,-0.03,-0.04,-0.01,0,0.01
0.22,0.04,-0.03,-0.04,-0.01,0,0.01
0.224,0.05,-0.02,-0.06,-0.01,0,0.01
0.224,0.05,-0.02,-0.06,-0.01,0,0.01
0.226,0.05,-0.02,-0.06,-0.01,0,0.01
0.229,0.05,-0.01,-0.09,-0.01,0,0.01
0.23,0.05,-0.01,-0.09,-0.01,0,0.01
0.234,0.05,-0.01,-0.09,-0.01,0,0.01
0.234,0.05,-0.01,-0.09,-0.01,0,0.01
0.234,0.06,-0.01,-0.11,-0.01,0,0.01
0.235,0.06,-0.01,-0.11,-0.01,0,0.01
0.238,0.05,0,-0.1,-0.01,0,0.01
0.239,0.05,0,-0.1,-0.01,0,0.01
0.24,0.05,0,-0.1,-0.01,0,0.01
0.243,0.06,0,-0.05,-0.01,0,0.01
0.243,0.06,0,-0.05,-0.01,0,0.01
0.245,0.06,0,-0.05,-0.01,0,0.01
0.271,0.07,-0.01,0,-0.01,0,0.01
0.271,0.07,-0.01,0,-0.01,0,0.01
0.272,0.07,-0.01,0,-0.01,0.01,0.01
0.272,0.05,0,0.03,-0.01,0.01,0.01
0.273,0.05,0,0.03,-0.01,0.01,0.01
0.273,0.05,0,0.03,-0.01,0.01,0.01
0.274,0.05,0,0.03,-0.01,0.01,0.01
0.274,0.06,0.03,0.04,-0.01,0.01,0.01
0.274,0.06,0.03,0.04,-0.01,0.01,0.01
0.275,0.08,0.02,0.03,-0.01,0.01,0.01
0.275,0.08,0.02,0.03,-0.01,0.01,0.01
0.276,0.08,0.02,0.03,-0.01,0.01,0.01
0.276,0.08,0.02,0.01,-0.01,0.01,0.01
0.277,0.08,0.02,0.01,-0.01,0.01,0.01
0.277,0.08,0.02,0.01,-0.01,0.01,0
0.277,0.08,0.01,0.01,-0.01,0.01,0
0.277,0.08,0.01,0.01,-0.01,0.01,0.01
0.278,0.08,0.01,0.01,-0.01,0.01,0
0.278,0.06,0,0.01,-0.01,0.01,0
0.278,0.06,0,0.01,-0.01,0.01,0
0.278,0.06,0,0.01,-0.01,0.01,0
0.281,0.06,0,0.01,-0.01,0.01,0
0.282,0.04,-0.01,-0.01,-0.01,0.01,0
0.284,0.04,-0.01,-0.01,0,0.01,0
0.286,0.03,0,-0.02,0,0.01,0
0.286,0.03,0,-0.02,0,0.01,0
0.289,0.03,0,-0.02,0,0.01,0
0.291,0.02,-0.01,-0.02,0,0.01,0
0.291,0.02,-0.01,-0.02,0,0.02,0
0.294,0.02,-0.01,-0.02,0,0.01,0
0.296,0.02,0,-0.02,0,0.01,0
0.297,0.02,0,-0.02,0,0.01,0
0.299,0.02,0,-0.02,0,0.01,0
0.3,0.02,0,-0.02,0,0.01,0
0.301,0.01,0.01,-0.04,0,0.01,0
0.304,0.01,0.01,-0.04,0.01,0.01,0
0.308,-0.01,0.01,-0.04,0.01,0.01,0
0.308,-0.01,0.01,-0.04,0,0.01,0
0.308,-0.01,0.01,-0.04,0,0.01,0
0.312,-0.02,0.02,-0.04,0,0.01,0
0.312,-0.02,0.02,-0.04,0,0.01,0
0.313,-0.02,0.02,-0.04,0,0.01,0
0.316,-0.01,0.03,-0.04,0,0.01,0
0.317,-0.01,0.03,-0.04,0,0,0
0.318,-0.01,0.03,-0.04,0,0.01,0
0.321,-0.01,0.04,-0.05,0,0.01,0
0.321,-0.01,0.04,-0.05,0,0,0
0.323,-0.01,0.04,-0.05,0,0,0.01
0.326,-0.02,0.02,-0.07,0,0,0.01
0.326,-0.02,0.02,-0.07,0,0,0.01
0.328,-0.02,0.02,-0.07,0,0,0
0.332,0.02,0.02,-0.07,0,0,0
0.332,0.02,0.02,-0.07,0,0,0.01
0.333,0.02,0.02,-0.07,0,0,0.01
0.336,0,0,-0.06,0,0,0.01
0.336,0,0,-0.06,0,0,0.01
0.338,0,0,-0.06,0,0,0.01
0.34,0.04,0.01,-0.04,0,0,0.01
0.341,0.04,0.01,-0.04,-0.01,0,0.01
0.343,0.04,0.01,-0.04,0,0,0.01
0.35,0.03,0.02,-0.03,0,0,0.01
0.351,0.03,0.02,-0.03,0,0,0.01
0.351,0.03,0.02,-0.03,0,0,0.01
0.351,0.04,0,-0.02,0,0,0.01
0.352,0.04,0,-0.02,0,0,0
0.353,0.04,0,-0.02,-0.01,0.01,0
0.355,0.04,0,-0.02,-0.01,0.01,0
0.356,0.04,0,-0.02,0,0.01,0
0.357,0.04,0,-0.02,-0.01,0,0
