time,ax,ay,az,wx,wy,wz
0,0.08,-0.03,-0.05,-0.03,0,0
0.001,0.08,-0.03,-0.05,-0.03,0,0.01
0.002,0.08,-0.03,-0.05,-0.03,0,0
0.005,0.08,-0.03,-0.05,-0.03,0.01,0
0.006,0.09,-0.04,-0.02,-0.03,0.01,0
0.008,0.09,-0.04,-0.02,-0.03,0,0
0.009,0.09,-0.04,-0.02,-0.03,0.01,0
0.009,0.08,-0.04,0.03,-0.03,0.01,0
0.014,0.08,-0.04,0.03,-0.03,0,0
0.016,0.06,-0.02,0.05,-0.03,0,0
0.017,0.06,-0.02,0.05,-0.03,0.01,0
0.017,0.06,-0.02,0.05,-0.02,0.01,0
0.018,0.05,-0.02,0.04,-0.02,0.01,0
0.018,0.05,-0.02,0.04,-0.02,0.01,0
0.021,0.05,-0.02,0.04,-0.03,0.01,0
0.023,0.05,-0.02,0.03,-0.03,0.01,0
0.024,0.05,-0.02,0.03,-0.02,0.01,0
0.027,0.05,-0.02,0.03,-0.02,0.01,0
0.029,0.04,-0.01,0,-0.02,0.01,0
0.03,0.04,-0.01,0,-0.02,0.01,0
0.031,0.04,-0.01,0,-0.02,0.01,0
0.033,0.05,0.02,-0.01,-0.02,0.01,0
0.034,0.05,0.02,-0.01,-0.02,0.01,0
0.036,0.05,0.02,-0.01,-0.02,0.01,0
0.038,0.05,0.02,-0.01,-0.02,0.01,0
0.038,0.03,0.02,-0.01,-0.02,0.01,0
0.04,0.03,0.02,-0.01,-0.02,0.01,0
0.043,0.04,0.02,-0.03,-0.02,0.01,0
0.043,0.04,0.02,-0.03,-0.02,0.01,0
0.046,0.04,0.02,-0.03,-0.02,0.01,0
0.049,0.02,0.03,-0.01,-0.02,0.01,0
0.049,0.02,0.03,-0.01,-0.02,0.01,0
0.051,0.02,0.03,-0.01,-0.02,0.01,0
0.053,0.01,0.05,-0.03,-0.02,0.01,0
0.053,0.01,0.05,-0.03,-0.02,0.01,0
0.056,0.01,0.05,-0.03,-0.02,0,0
0.058,-0.01,0.07,-0.04,-0.02,0,0
0.058,-0.01,0.07,-0.04,-0.02,0.01,0
0.06,-0.01,0.07,-0.04,-0.02,0,0
0.065,-0.01,0.06,-0.05,-0.02,0,0
0.065,-0.01,0.06,-0.05,-0.02,0,0
0.065,-0.01,0.06,-0.05,-0.02,0,0
0.068,-0.01,0.06,-0.05,-0.02,0,0
0.068,-0.02,0.08,-0.05,-0.02,0,0
0.07,-0.02,0.08,-0.05,-0.02,0,0
0.073,-0.02,0.08,-0.05,-0.03,0,0
0.073,-0.02,0.08,-0.04,-0.03,0,0
0.076,-0.02,0.08,-0.04,-0.03,0,0
0.077,-0.02,0.08,-0.04,-0.03,0,0
0.077,-0.03,0.05,-0.03,-0.03,0,0
0.081,-0.03,0.05,-0.03,-0.03,0,0
0.082,-0.03,0.05,-0.03,-0.03,0,0
0.082,-0.02,0.06,-0.04,-0.03,0,0
0.085,-0.02,0.06,-0.04,-0.03,0,0
0.087,-0.02,0.06,-0.04,-0.03,0,0
0.088,-0.02,0.03,-0.03,-0.03,0,0
0.089,-0.02,0.03,-0.03,-0.03,0,0
0.092,-0.02,0.03,-0.03,-0.03,0,0
0.092,-0.02,0.04,-0.04,-0.03,0,0
0.095,-0.02,0.04,-0.04,-0.03,0,0
0.097,-0.02,0.04,-0.04,-0.03,0,0
0.097,0.01,0.02,-0.04,-0.03,0,0
0.1,0.01,0.02,-0.04,-0.03,0,0
0.102,0.01,0.02,-0.04,-0.03,0,0
0.102,0.04,0.02,-0.02,-0.03,0,0
0.104,0.04,0.02,-0.02,-0.03,0,0
0.107,0.04,0.02,-0.02,-0.03,0,0
0.107,0.03,0.01,0,-0.03,0,0
0.109,0.03,0.01,0,-0.03,0,0
0.111,0.03,0.01,0,-0.03,0,0
0.112,0.01,-0.02,0,-0.03,0,0
0.115,0.01,-0.02,0,-0.03,0,0
0.116,0.02,-0.01,0,-0.03,0,0
0.116,0.02,-0.01,0,-0.03,0,0
0.135,0.02,-0.01,0,-0.03,0,0
0.136,0.02,0,-0.02,-0.03,0,0
0.136,0.02,0,-0.02,-0.03,0,0
0.136,0.02,0,-0.02,-0.03,0,0
