time,ax,ay,az,wx,wy,wz
0.002,0.02,0.02,0.01,-0.03,0,0
0.002,0.05,0,0.01,-0.03,0,0
0.004,0.05,0,0.01,-0.03,0.01,0
0.012,0.02,0.01,0.02,-0.03,0.01,0
0.013,0.02,0.01,0.02,-0.03,0.01,0
0.013,0.02,0.01,0.02,-0.03,0.01,0
0.013,0.02,0.01,0.02,-0.03,0.01,0
0.014,0.04,0.03,0.02,-0.03,0.01,0
0.014,0.04,0.03,0.02,-0.03,0.01,-0.01
0.016,0.05,0.02,0.01,-0.03,0.01,-0.01
0.017,0.05,0.02,0.01,-0.02,0.01,0
0.019,0.05,0.02,0.01,-0.02,0.01,0
0.021,0.06,0.01,0.03,-0.02,0.01,0
0.022,0.06,0.01,0.03,-0.02,0.01,0
0.042,0.06,0.01,0.03,-0.03,0.01,0
0.042,0.07,0.01,0.02,-0.03,0.01,0
0.043,0.07,0.01,0.02,-0.02,0.01,-0.01
0.043,0.07,0.01,0.02,-0.02,0.01,-0.01
0.044,0.06,-0.01,0.02,-0.02,0.01,-0.01
0.045,0.06,-0.01,0.02,-0.02,0.01,-0.01
0.045,0.06,-0.01,0.02,-0.02,0.01,-0.01
0.046,0.06,-0.01,0.02,-0.03,0.02,-0.01
0.046,0.04,0,0.01,-0.03,0.02,-0.01
0.047,0.04,0,0.01,-0.02,0.01,-0.01
0.047,0.04,0,-0.01,-0.02,0.01,-0.01
0.048,0.04,0,-0.01,-0.02,0.01,-0.01
0.048,0.04,0,-0.01,-0.02,0,0
0.049,0.04,0,-0.01,-0.03,0.01,-0.01
0.049,0.05,0,-0.04,-0.03,0.01,-0.01
0.05,0.05,0,-0.04,-0.03,0.01,0
0.05,0.01,0.03,-0.11,-0.03,0.01,0
0.051,0.01,0.03,-0.11,-0.03,0.01,0
0.054,0.01,0.03,-0.11,-0.03,0.01,0
0.056,0.01,0.01,0,-0.03,0.01,0
0.056,0.01,0.01,0,-0.03,0.01,-0.01
0.058,0.01,0.01,0,-0.03,0,0
0.061,0.02,0,0.2,-0.03,0,0
0.062,0.02,0,0.2,-0.02,0,-0.01
0.062,0.02,0,0.2,-0.02,0,0
0.066,0.02,0,0.2,-0.02,0.01,0
0.066,0.03,0.02,0.18,-0.02,0.01,0
0.068,0.03,0.02,0.18,-0.02,0.01,-0.01
0.071,0.01,0.02,0.04,-0.02,0.01,-0.01
0.071,0.01,0.02,0.04,-0.02,0.01,-0.01
0.073,0.01,0.02,0.04,-0.02,0.01,-0.01
0.075,0.01,0.02,0.04,-0.02,0.01,-0.01
0.076,0.02,0.02,-0.03,-0.02,0.01,-0.01
0.077,0.02,0.02,-0.03,-0.02,0.01,-0.01
0.079,0.02,0.02,-0.03,-0.02,0.01,-0.01
0.08,0,0.01,-0.09,-0.02,0.01,-0.01
0.082,0,0.01,-0.09,-0.02,0.01,0
0.085,0,0.01,-0.09,-0.03,0.02,-0.01
0.085,-0.02,-0.01,-0.1,-0.03,0.02,-0.01
0.087,-0.02,-0.01,-0.1,-0.03,0.02,-0.01
0.09,-0.01,0,-0.07,-0.03,0.02,-0.01
0.09,-0.01,0,-0.07,-0.03,0.01,-0.01
0.092,-0.01,0,-0.07,-0.03,0.01,-0.01
0.094,-0.01,0,-0.07,-0.03,0.01,0
0.094,0.01,0.02,-0.08,-0.03,0.01,0
0.097,0.01,0.02,-0.08,-0.03,0.01,0
0.099,0.04,0.01,-0.06,-0.03,0.01,0
