time,ax,ay,az,wx,wy,wz
0,0.02,0.03,-0.07,0.01,0.01,0
0.001,0.02,0.03,-0.07,0.01,0.01,0
0.003,0.02,0.03,-0.07,0.01,0.01,0
0.008,0.02,0.03,-0.07,0.01,0.01,0
0.009,0.02,0.04,-0.07,0.01,0.01,0
0.009,0.02,0.04,-0.07,0.01,0.02,0
0.01,0.02,0.04,-0.07,0.01,0.01,0
0.011,0.01,0.03,-0.07,0.01,0.01,0
0.013,0.01,0.03,-0.07,0.01,0.01,0
0.015,0.01,0.03,-0.07,0.01,0.01,0
0.016,0.03,0.03,-0.06,0.01,0.01,0
0.018,0.03,0.03,-0.06,0.01,0.01,0
0.02,0.03,0.03,-0.06,0,0.01,0
0.02,0.03,0.01,-0.05,0,0.01,0
0.023,0.03,0.01,-0.05,0,0.02,0
0.025,0.03,0.02,-0.04,0,0.02,0
0.026,0.03,0.02,-0.04,0,0.01,0
0.028,0.03,0.02,-0.04,0,0.01,0
0.03,0.03,0.02,-0.04,0,0.01,0
0.03,0.04,0,-0.04,0,0.01,0
0.032,0.04,0,-0.04,0,0.01,0
0.035,0.04,0,-0.04,0,0.01,0
0.035,0.04,0,-0.05,0,0.01,0
0.037,0.04,0,-0.05,0,0.02,0
0.04,0.04,0,-0.05,0,0.02,0
0.065,0.05,0,-0.04,0,0.02,0
0.066,0.05,0,-0.04,0,0.02,0
0.066,0.06,-0.01,-0.05,0,0.02,0
0.066,0.06,-0.01,-0.05,0,0.02,0
0.066,0.06,-0.01,-0.05,0,0.02,0
0.067,0.06,-0.01,-0.05,0,0.02,0
0.067,0.04,-0.01,-0.04,0,0.02,0
0.067,0.04,-0.01,-0.04,0,0.02,0
0.068,0.04,-0.01,-0.04,0,0.01,0
0.068,0.04,-0.01,-0.04,0,0.01,0
0.068,0.04,-0.01,-0.04,0,0.02,0
0.068,0.04,-0.01,-0.04,0,0.02,0
0.069,0.02,-0.02,-0.04,0,0.02,0
0.069,0.02,-0.02,-0.04,0,0.02,0
0.069,0.02,-0.02,-0.04,0,0.02,0
0.069,0.02,-0.01,-0.04,0,0.02,0
0.07,0.02,-0.01,-0.04,0,0.02,0
0.07,0.03,-0.01,-0.03,0,0.02,0
0.07,0.03,-0.01,-0.03,0,0.02,0
0.072,0.03,-0.01,-0.03,0.01,0.02,0
0.074,0.03,-0.01,-0.03,0,0.02,0
0.074,0.03,-0.01,-0.04,0,0.02,0
0.076,0.03,-0.01,-0.04,0,0.02,0
0.078,0.03,-0.01,-0.05,0,0.02,0
0.079,0.03,-0.01,-0.05,0,0.02,0
0.081,0.03,-0.01,-0.05,0.01,0.02,0
0.084,0.03,-0.01,-0.05,0.01,0.02,0
0.084,0.01,-0.01,-0.05,0.01,0.02,0
0.088,0.01,-0.01,-0.05,0.01,0.02,0
0.089,0.02,0,-0.04,0.01,0.02,0
0.089,0.02,0,-0.04,0.01,0.02,0
0.09,0.02,0,-0.04,0.01,0.02,-0.01
