time,ax,ay,az,wx,wy,wz
0.001,0.02,0,-0.06,-0.02,0,-0.01
0.001,0.02,0,-0.06,-0.02,-0.01,-0.01
0.002,0.02,0,-0.06,-0.02,-0.01,-0.02
0.002,0.04,-0.01,-0.06,-0.02,-0.01,-0.02
0.002,0.04,-0.01,-0.06,-0.02,-0.01,-0.01
0.005,0.04,-0.01,-0.06,-0.02,-0.01,-0.02
0.007,0.04,-0.01,-0.06,-0.02,-0.01,-0.02
0.007,0.03,-0.01,-0.04,-0.02,-0.01,-0.02
0.01,0.03,-0.01,-0.04,-0.02,0,-0.02
0.013,0.03,-0.01,-0.05,-0.02,0,-0.02
0.014,0.03,-0.01,-0.05,-0.02,0,-0.02
0.015,0.03,-0.01,-0.05,-0.02,-0.01,-0.02
0.017,0.04,-0.01,-0.05,-0.02,-0.01,-0.02
0.018,0.04,-0.01,-0.05,-0.02,0,-0.02
0.02,0.04,-0.01,-0.05,-0.02,-0.01,-0.01
0.023,0.03,0.01,-0.06,-0.02,-0.01,-0.01
0.024,0.03,0.01,-0.06,-0.02,-0.01,-0.02
0.024,0.03,0.01,-0.06,-0.02,-0.01,-0.01
0.028,0.03,0.01,-0.06,-0.02,0,-0.02
0.029,0.02,0,-0.05,-0.02,0,-0.02
0.03,0.02,0,-0.05,-0.02,0,-0.02
0.032,0.03,0,-0.03,-0.02,0,-0.02
0.034,0.03,0,-0.03,-0.02,0,-0.02
0.034,0.03,0,-0.03,-0.02,-0.01,-0.02
0.037,0.02,0,-0.03,-0.02,-0.01,-0.02
0.038,0.02,0,-0.03,-0.02,0,-0.02
0.039,0.02,0,-0.03,-0.02,-0.01,-0.02
0.042,0.02,0,-0.03,-0.02,0,-0.01
0.042,0.02,-0.01,-0.01,-0.02,0,-0.01
0.044,0.02,-0.01,-0.01,-0.02,0,-0.01
0.047,0.02,-0.01,-0.01,-0.02,0,-0.01
0.047,0.03,-0.01,-0.03,-0.02,0,-0.01
0.049,0.03,-0.01,-0.03,-0.02,0,-0.01
0.052,0.03,-0.01,-0.03,-0.02,0,-0.01
0.052,0.04,-0.01,0,-0.02,0,-0.01
0.054,0.04,-0.01,0,-0.02,0,-0.01
0.056,0.03,-0.02,0,-0.02,0,-0.01
0.057,0.03,-0.02,0,-0.02,0,-0.01
0.059,0.03,-0.02,0,-0.02,0,-0.02
0.061,0.03,-0.01,0,-0.02,0,-0.02
0.061,0.03,-0.01,0,-0.02,0,-0.02
0.064,0.03,-0.01,0,-0.02,0,-0.02
0.066,0.03,-0.01,0,-0.02,0,-0.02
0.067,0.06,-0.02,0,-0.02,0,-0.02
0.069,0.06,-0.02,0,-0.02,0,-0.02
0.071,0.05,-0.03,-0.01,-0.02,0,-0.02
0.071,0.05,-0.03,-0.01,-0.02,0,-0.02
0.073,0.05,-0.03,-0.01,-0.02,0,-0.02
0.076,0.02,-0.01,0,-0.02,0,-0.02
0.076,0.02,-0.01,0,-0.02,0,-0.02
0.08,0.02,-0.01,0,-0.02,0,-0.02
0.082,0.02,-0.01,0,-0.02,0,-0.02
0.082,0.03,-0.01,0.02,-0.02,0,-0.02
0.083,0.03,-0.01,0.02,-0.01,0,-0.02
0.085,0.03,-0.01,0.02,-0.01,0,-0.02
0.086,0.05,-0.02,0.06,-0.01,0,-0.02
0.088,0.05,-0.02,0.06,-0.01,0,-0.02
0.091,0.04,-0.02,0.06,-0.01,0,-0.02
0.091,0.04,-0.02,0.06,-0.01,0,-0.02
0.092,0.04,-0.02,0.06,-0.01,0,-0.02
0.095,0.05,-0.01,0.04,-0.01,0,-0.02
0.095,0.05,-0.01,0.04,-0.01,0,-0.02
0.1,0.05,-0.01,0.04,-0.01,-0.01,-0.02
0.1,0.05,-0.01,0.03,-0.01,-0.01,-0.02
0.101,0.05,-0.01,0.03,-0.01,0,-0.02
0.103,0.05,-0.01,0.03,-0.01,0,-0.02
0.138,0.05,-0.01,0.03,-0.01,-0.01,-0.02
0.138,0.03,0.01,0.02,-0.01,-0.01,-0.02
0.139,0.03,0.01,0.02,-0.01,0,-0.02
0.139,0.03,0.02,0,-0.01,0,-0.02
0.14,0.03,0.02,0,-0.01,0,-0.01
0.14,0.03,0.02,0,-0.02,0,-0.02
0.141,0.03,0.02,0,-0.02,0,-0.01
0.141,0,0.02,-0.09,-0.02,0,-0.01
0.142,0,0.02,-0.09,-0.02,0,-0.02
0.142,0,0.02,-0.09,-0.02,0,-0.01
0.143,-0.03,0.03,-0.11,-0.02,0,-0.01
0.144,-0.03,0.03,-0.11,-0.02,0,-0.01
0.144,-0.03,0.03,-0.11,-0.02,0,-0.01
0.145,-0.01,0.04,-0.08,-0.02,0,-0.01
0.145,-0.01,0.04,-0.08,-0.03,0,-0.01
0.146,0.03,0.03,-0.05,-0.03,0,-0.01
0.146,0.03,0.03,-0.05,-0.03,0,-0.02
0.146,0.03,0.03,-0.05,-0.03,0,-0.01
0.147,0.06,0.04,0,-0.03,0,-0.01
0.147,0.06,0.04,0,-0.03,0,-0.01
0.148,0.06,0.04,0,-0.02,0,-0.01
0.148,0.09,0.03,0.02,-0.02,0,-0.01
0.149,0.09,0.03,0.02,-0.02,0,-0.02
0.15,0.09,0.03,0.02,-0.02,0,-0.02
0.151,0.07,0.03,0.01,-0.02,0,-0.02
0.151,0.07,0.03,0.01,-0.02,-0.01,-0.02
0.151,0.07,0.03,0.01,-0.02,-0.01,-0.02
0.152,0.05,0,-0.02,-0.02,-0.01,-0.02
0.152,0.05,0,-0.02,-0.02,-0.01,-0.02
0.152,0.05,0,-0.02,-0.02,0,-0.02
0.154,0.03,0.01,-0.1,-0.02,0,-0.02
0.155,0.03,0.01,-0.1,-0.03,0,-0.02
0.158,0.03,0.01,-0.1,-0.03,0,-0.02
0.159,0.01,0.02,-0.13,-0.03,0,-0.02
0.159,0.01,0.02,-0.13,-0.03,0,-0.02
0.161,0.01,0.02,-0.13,-0.03,0,-0.02
0.164,0,0,-0.1,-0.03,0,-0.02
0.164,0,0,-0.1,-0.03,0,-0.02
0.167,0,0,-0.1,-0.03,0.01,-0.02
0.169,0.02,0,-0.02,-0.03,0.01,-0.02
0.169,0.02,0,-0.02,-0.03,0.01,-0.02
0.171,0.02,0,-0.02,-0.03,0,-0.02
0.173,0.03,-0.01,-0.01,-0.03,0,-0.02
0.173,0.03,-0.01,-0.01,-0.03,0,-0.01
0.175,0.03,-0.01,-0.01,-0.03,0,-0.02
0.178,0.03,0,0.01,-0.03,0,-0.02
0.179,0.03,0,0.01,-0.03,0,-0.01
0.181,0.03,0,0.01,-0.03,0,-0.02
0.183,0.03,0,0.01,-0.02,0,-0.01
0.183,0.04,-0.02,-0.02,-0.02,0,-0.01
0.186,0.04,-0.02,-0.02,-0.02,0,-0.01
0.189,0.02,-0.03,-0.01,-0.02,0,-0.01
0.189,0.02,-0.03,-0.01,-0.02,0,-0.01
0.19,0.02,-0.03,-0.01,-0.02,0,-0.01
0.193,0.03,-0.04,0,-0.02,0,-0.01
0.193,0.03,-0.04,0,-0.02,0,-0.01
0.195,0.03,-0.04,0,-0.02,0,-0.01
0.2,0.02,-0.04,-0.05,-0.02,0,-0.01
0.2,0.02,-0.04,-0.05,-0.02,0,-0.01
