time,ax,ay,az,wx,wy,wz
0.001,0.01,0.01,0.02,0.02,0,0
0.005,0.01,0.01,0.02,0.02,0,0
0.006,0.02,0.02,0.02,0.02,0,0
0.007,0.02,0.02,0.02,0.02,0,0
0.008,0.02,0.02,0.01,0.02,0,0
0.009,0.02,0.02,0.01,0.01,0,0
0.011,0.02,0.02,0.01,0.02,0,0
0.013,-0.01,0.03,0.01,0.02,0,0
0.014,-0.01,0.03,0.01,0.02,0,0
0.016,-0.01,0.03,0.01,0.01,0,0
0.018,-0.01,0.03,0.01,0.01,0,0
0.018,0.01,0.03,-0.01,0.01,0,0
0.021,0.01,0.03,-0.01,0.01,0,0
0.023,0.01,0.04,-0.02,0.01,0,0
0.023,0.01,0.04,-0.02,0.01,0,0
0.025,0.01,0.04,-0.02,0.01,0,0
0.028,0,0.04,-0.02,0.01,0,0
0.028,0,0.04,-0.02,0.01,0.01,0
0.03,0,0.04,-0.02,0.01,0,0
0.033,0.02,0.03,0.01,0.01,0,0
0.033,0.02,0.03,0.01,0.01,0,0
0.035,0.02,0.03,0.01,0.01,0.01,0
0.042,0.02,0.03,0.01,0.01,0,0
0.043,-0.01,0.03,-0.01,0.01,0,0
0.043,-0.01,0.03,-0.01,0.01,0,0
0.044,-0.01,0.03,-0.01,0.01,0.01,0
0.044,-0.02,0.01,-0.01,0.01,0.01,0
0.045,-0.02,0.01,-0.01,0.01,0.01,0
0.048,-0.01,0.01,-0.01,0.01,0.01,0
0.049,-0.01,0.01,-0.01,0.01,0.01,0
0.05,-0.01,0.01,-0.01,0.01,0.01,0
0.052,0.02,0.02,-0.01,0.01,0.01,0
0.052,0.02,0.02,-0.01,0.01,0.01,0
0.062,0.02,0.02,-0.01,0.01,0.01,0
0.09,0.02,0.01,-0.02,0.01,0.01,0
0.091,0.02,0.01,-0.02,0.01,0.01,0
0.091,0.02,0.01,-0.02,0.01,0.01,0
0.092,0.02,0.01,-0.01,0.01,0.01,0
0.092,0.02,0.01,-0.01,0.01,0.01,0
0.092,0.02,0.01,-0.01,0.01,0.01,0
0.093,0.02,0.01,-0.01,0.01,0.01,0
0.093,0.02,0,-0.01,0.01,0.01,0
0.094,0.02,0,-0.01,0.01,0.01,0
0.094,0.02,0,-0.01,0.01,0.01,0
0.094,0.03,0.01,-0.02,0.01,0.01,0
0.095,0.04,0,-0.02,0.01,0.01,0
0.095,0.04,0,-0.02,0.01,0.01,0
0.095,0.04,0,-0.02,0.01,0.01,0
0.096,0.04,0,-0.02,0.01,0.01,0
0.096,0.05,0,-0.04,0.01,0.01,0
0.097,0.05,0,-0.04,0.01,0.01,0
0.097,0.05,0,-0.04,0.01,0.01,0
0.097,0.04,-0.01,-0.02,0.01,0.01,0
0.098,0.04,-0.01,-0.02,0.01,0.01,0
0.098,0.04,-0.01,-0.02,0.01,0.01,0
0.098,0.03,0,-0.02,0.01,0.01,0
0.099,0.03,0,-0.02,0.01,0.01,0
0.099,0.03,0,-0.02,0.01,0.01,0
0.101,0.03,0,-0.02,0.01,0.01,0
0.101,0.01,-0.01,-0.01,0.01,0.01,0
0.101,0.01,-0.01,-0.01,0.01,0.01,0
0.102,0.01,-0.02,-0.01,0.01,0.01,0
0.102,0.01,-0.02,-0.01,0.01,0.01,0
0.105,0.01,-0.02,-0.01,0.01,0.01,0
0.106,0.01,-0.02,-0.02,0.01,0.01,0
0.106,0.01,-0.02,-0.02,0.01,0.01,0
0.108,0.01,-0.02,-0.02,0.01,0.01,0
0.111,0.03,-0.03,-0.03,0.01,0.01,0
0.111,0.03,-0.03,-0.03,0.02,0.01,0
0.113,0.03,-0.03,-0.03,0.02,0.01,0
0.116,0.03,-0.04,-0.02,0.02,0.01,0
0.116,0.03,-0.04,-0.02,0.02,0.01,0
0.119,0.03,-0.04,-0.02,0.02,0.01,0
0.121,0.03,-0.04,-0.02,0.02,0.01,0
0.121,0.01,-0.03,-0.03,0.02,0.01,0
0.123,0.01,-0.03,-0.03,0.02,0.01,0
0.125,0.01,-0.03,-0.03,0.02,0.01,0
0.125,0.01,-0.03,-0.02,0.02,0.01,0
0.129,0.01,-0.03,-0.02,0.02,0,0
0.132,0.01,-0.03,-0.02,0.02,0,0
