time,ax,ay,az,wx,wy,wz
0,0.04,0,-0.02,-0.01,0.02,-0.01
0,0.04,0,-0.01,-0.01,0.02,-0.01
0.003,0.04,0,-0.01,-0.01,0.02,-0.01
0.005,0.03,-0.01,-0.02,-0.01,0.02,-0.01
0.006,0.03,-0.01,-0.02,-0.01,0.02,-0.02
0.007,0.03,-0.01,-0.02,-0.01,0.02,-0.01
0.04,0.03,-0.02,-0.03,-0.01,0.02,-0.01
0.04,0.03,-0.02,-0.03,-0.01,0.01,-0.01
0.041,0.03,-0.02,-0.03,-0.01,0.01,-0.02
0.041,0.04,-0.04,-0.03,-0.01,0.01,-0.02
0.042,0.04,-0.04,-0.03,-0.01,0.01,-0.01
0.042,0.04,-0.04,-0.03,-0.01,0.01,-0.01
0.043,0.04,-0.04,-0.03,0,0.01,-0.01
0.043,0.02,-0.04,-0.02,0,0.01,-0.01
0.044,0.02,-0.04,-0.02,0,0.01,-0.01
0.044,0.02,-0.03,-0.01,0,0.01,-0.01
0.044,0.02,-0.03,-0.01,0,0.01,-0.01
0.045,0.02,-0.03,-0.01,0,0.02,-0.01
0.045,-0.01,-0.03,-0.03,0,0.02,-0.01
0.045,-0.01,-0.03,-0.03,0,0.01,-0.01
0.045,-0.01,-0.03,-0.03,0,0.01,-0.02
0.046,0.01,-0.04,-0.04,0,0.01,-0.02
0.046,0.01,-0.04,-0.04,0,0.02,-0.01
0.046,0.01,-0.04,-0.04,0,0.01,-0.01
0.047,0,-0.01,-0.04,0,0.01,-0.01
0.047,0,-0.01,-0.04,0,0.02,-0.01
0.047,0,-0.01,-0.04,0,0.02,-0.01
0.047,0,-0.01,-0.04,0,0.02,-0.01
0.048,0,-0.02,-0.03,0,0.02,-0.01
0.048,0,-0.02,-0.03,0,0.02,-0.01
0.049,0.02,-0.02,-0.03,0,0.02,-0.01
0.051,0.02,-0.02,-0.03,0,0.02,-0.01
0.051,0.02,-0.02,-0.03,0,0.02,-0.01
0.054,0.02,-0.02,-0.03,0,0.02,-0.01
0.054,0,-0.01,-0.02,0,0.02,-0.01
0.057,0,-0.01,-0.02,0,0.02,-0.02
0.058,0.02,-0.01,-0.03,0,0.02,-0.02
0.058,0.02,-0.01,-0.03,0,0.02,-0.02
0.06,0.02,-0.01,-0.03,0,0.02,-0.02
0.063,0.04,0.01,-0.05,0,0.02,-0.02
0.064,0.04,0.01,-0.05,0,0.02,-0.02
0.067,0.04,0.01,-0.05,0,0.02,-0.01
0.069,0.04,0.01,-0.05,0,0.02,-0.02
0.069,0.05,0.02,-0.04,0,0.02,-0.02
0.071,0.05,0.02,-0.04,0,0.02,-0.02
0.073,0.06,0.01,-0.02,0,0.02,-0.02
0.073,0.06,0.01,-0.02,0,0.02,-0.02
0.075,0.06,0.01,-0.02,0,0.02,-0.02
0.079,0.04,0.02,-0.03,0,0.02,-0.02
0.079,0.04,0.02,-0.03,0,0.02,-0.02
0.08,0.04,0.02,-0.03,0,0.02,-0.02
0.083,0.04,0.01,-0.04,0,0.02,-0.02
0.083,0.04,0.01,-0.04,0,0.01,-0.02
0.086,0.04,0.01,-0.04,0,0.01,-0.02
0.088,0.04,0.01,-0.04,0,0.01,-0.01
0.088,0.05,0,-0.04,0,0.01,-0.01
0.09,0.05,0,-0.04,0,0.01,-0.02
0.094,0.05,0,-0.04,0,0.01,-0.01
0.094,0.03,0.02,-0.03,0,0.01,-0.01
0.095,0.03,0.02,-0.03,0,0.01,-0.01
0.098,0.04,0.01,-0.02,0,0.01,-0.01
0.098,0.04,0.01,-0.02,0,0.01,-0.02
0.1,0.04,0.01,-0.02,0,0.01,-0.02
0.103,0.04,0.01,-0.02,0,0,-0.02
0.103,0.02,0.01,0.01,0,0,-0.02
0.105,0.02,0.01,0.01,0,0,-0.01
0.108,0,0.01,0.02,0,0,-0.01
0.108,0,0.01,0.02,0,0,-0.01
0.11,0,0.01,0.02,0,0,-0.02
0.113,-0.02,0,0.05,0,0,-0.02
0.113,-0.02,0,0.05,0,0,-0.02
0.115,-0.02,0,0.05,0,0,-0.02
0.118,-0.02,0,0.05,0.01,-0.01,-0.01
0.118,0,0,0.07,0.01,-0.01,-0.01
0.12,0,0,0.07,0.01,0,-0.02
0.122,-0.01,0,0.04,0.01,0,-0.02
0.123,-0.01,0,0.04,0,0,-0.01
0.125,-0.01,0,0.04,0,0,-0.02
0.127,-0.01,0,0.04,0,0,-0.02
0.127,0.01,0.02,0.02,0,0,-0.02
0.13,0.01,0.02,0.02,0,0,-0.02
0.132,0.01,0.01,0.05,0,0,-0.02
0.132,0.01,0.01,0.05,0,0,-0.02
0.134,0.01,0.01,0.05,0,0,-0.02
0.137,0.01,0.01,0.05,0,0,-0.01
0.137,0.02,0.01,-0.01,0,0,-0.01
0.14,0.02,0.01,-0.01,0,0,-0.02
0.141,0.02,0.01,-0.01,0,0,-0.01
0.142,-0.01,0.02,-0.12,0,0,-0.01
0.149,-0.01,0.02,-0.12,-0.01,0.01,-0.02
0.149,-0.04,0.01,-0.13,-0.01,0.01,-0.02
0.15,-0.04,0.01,-0.13,-0.01,0.01,-0.02
0.15,-0.04,0.01,-0.13,-0.01,0.01,-0.02
0.152,-0.02,0.02,-0.06,-0.01,0.01,-0.02
0.153,-0.02,0.02,-0.06,0,0,-0.01
0.154,-0.02,0.02,-0.06,-0.01,0.01,-0.01
0.157,0.02,0.02,0,-0.01,0.01,-0.01
0.157,0.02,0.02,0,-0.01,0,-0.02
0.162,0.02,0.02,0,-0.01,0,-0.02
0.162,0.02,0.02,0,0,0,-0.02
0.163,0.04,0.01,0.04,0,0,-0.02
0.163,0.04,0.01,0.04,0,0,-0.02
0.166,0.04,0.01,0.04,0,0,-0.02
0.166,0.05,-0.01,0.08,0,0,-0.02
0.168,0.05,-0.01,0.08,0,0,-0.02
0.171,0.05,-0.01,0.04,0,0,-0.02
0.188,0.05,-0.01,0.04,0,0,-0.02
0.188,0.05,-0.01,0.04,0,0,-0.02
0.189,0.05,-0.01,0.04,0,0,-0.02
0.189,0.07,-0.01,-0.01,0,0,-0.02
0.189,0.07,-0.01,-0.01,0,0,-0.02
0.19,0.05,0,-0.11,0,0,-0.02
0.19,0.05,0,-0.11,0,0,-0.02
0.19,0.05,0,-0.11,0,0,-0.02
0.191,0.02,-0.01,-0.12,0,0,-0.02
0.191,0.02,-0.01,-0.12,-0.01,0,-0.02
0.191,0.02,-0.01,-0.12,-0.01,0.01,-0.02
0.191,0.02,-0.01,-0.12,-0.01,0,-0.02
0.192,0.01,0,-0.07,-0.01,0,-0.02
0.193,0.01,0,-0.07,-0.01,0.01,-0.02
0.196,0.02,0.01,-0.03,-0.01,0.01,-0.02
0.197,0.02,0.01,-0.03,-0.01,0,-0.02
0.198,0.02,0.01,-0.03,-0.01,0,-0.02
0.2,0.02,0.01,0,-0.01,0,-0.02
0.2,0.02,0.01,0,0,0,-0.01
0.202,0.02,0.01,0,-0.01,0,-0.01
0.205,0.02,0.01,0,0,0,-0.01
0.205,0.03,0.02,0,0,0,-0.01
0.207,0.03,0.02,0,0,0,-0.01
0.211,0.03,0.01,-0.03,0,0,-0.01
0.211,0.03,0.01,-0.03,-0.01,0,-0.01
0.212,0.03,0.01,-0.03,-0.01,0,-0.01
0.215,0.03,-0.01,0,-0.01,0,-0.01
0.215,0.03,-0.01,0,-0.01,0,-0.01
0.217,0.03,-0.01,0,0,0,-0.01
0.22,0.04,-0.02,0,0,0,-0.01
0.221,0.04,-0.02,0,-0.01,0,-0.01
0.223,0.04,-0.02,0,-0.01,0,-0.01
0.225,0.04,-0.01,-0.03,-0.01,0,-0.01
0.226,0.04,-0.01,-0.03,-0.01,0,-0.01
0.227,0.04,-0.01,-0.03,-0.01,0,-0.01
0.229,0.05,0.02,-0.07,-0.01,0,-0.01
0.23,0.05,0.02,-0.07,-0.01,0,-0.01
0.232,0.05,0.02,-0.07,-0.01,0,-0.01
0.234,0.05,0.01,-0.12,-0.01,0,-0.01
0.234,0.05,0.01,-0.12,-0.01,0,-0.01
0.236,0.05,0.01,-0.12,-0.01,0,-0.01
0.239,0.05,0.01,-0.11,-0.01,0,-0.01
0.239,0.05,0.01,-0.11,-0.01,0,-0.01
0.241,0.05,0.01,-0.11,-0.01,0,-0.01
0.245,0.05,-0.02,-0.04,-0.01,0,-0.01
0.246,0.05,-0.02,-0.04,-0.01,0.01,-0.01
0.247,0.05,-0.02,-0.04,-0.01,0.01,-0.01
0.249,0.03,0,0.01,-0.01,0.01,-0.01
0.249,0.03,0,0.01,-0.01,0,-0.01
0.251,0.03,0,0.01,-0.01,0,-0.02
0.253,0.05,0,0.05,-0.01,0,-0.02
0.254,0.05,0,0.05,-0.01,0,-0.01
0.256,0.05,0,0.05,-0.01,0.01,-0.01
0.259,0.07,-0.01,0.06,-0.01,0.01,-0.01
0.26,0.07,-0.01,0.06,-0.01,0.01,-0.02
0.261,0.07,-0.01,0.06,0,0.01,-0.02
0.263,0.07,-0.01,0.06,-0.01,0.01,-0.02
0.264,0.06,0.02,0.08,-0.01,0.01,-0.02
0.266,0.06,0.02,0.08,0,0.01,-0.02
0.269,0.06,0.02,0.08,0,0.01,-0.02
0.269,0.06,0.02,0.07,0,0.01,-0.02
0.27,0.06,0.02,0.07,0,0.02,-0.02
0.273,0.05,0.03,0.04,0,0.02,-0.02
0.274,0.05,0.03,0.04,0,0.01,-0.02
