time,ax,ay,az,wx,wy,wz
0.001,-0.05,0.07,-0.08,0.01,0.01,-0.01
0.003,-0.04,0.06,-0.07,0.01,0.01,-0.01
0.004,-0.04,0.06,-0.07,0.01,0.01,-0.01
0.006,-0.04,0.06,-0.07,0.01,0.01,-0.01
0.009,-0.04,0.04,-0.06,0.01,0.01,-0.01
0.009,-0.04,0.04,-0.06,0.01,0.01,0
0.01,-0.04,0.04,-0.06,0.01,0.01,0
0.014,-0.04,0.02,-0.06,0.01,0.01,0
0.014,-0.04,0.02,-0.06,0.01,0.01,0
0.015,-0.04,0.02,-0.06,0.01,0.01,0
0.023,-0.04,0.04,-0.08,0.01,0.01,0
0.023,-0.04,0.04,-0.08,0.01,0.01,0
0.024,-0.04,0.04,-0.08,0.01,0.01,0
0.024,-0.04,0.04,-0.08,0.01,0.01,0
0.024,-0.03,0.02,-0.1,0.01,0.01,0
0.025,-0.03,0.02,-0.1,0,0.01,0
0.027,-0.04,0.03,-0.15,0,0.01,0
0.027,-0.04,0.03,-0.15,0,0.01,0
0.03,-0.04,0.03,-0.15,0,0.01,0
0.032,-0.04,0.03,-0.15,0,0.01,0.01
0.033,-0.02,0.03,-0.16,0,0.01,0.01
0.035,-0.02,0.03,-0.16,-0.01,0.01,0.01
0.038,-0.02,0.03,-0.16,-0.01,0.01,0.01
0.039,-0.01,0.01,-0.15,-0.01,0.01,0.01
0.04,-0.01,0.01,-0.15,-0.01,0.01,0.01
0.042,0,0,-0.09,-0.01,0.01,0.01
0.043,0,0,-0.09,-0.01,0.01,0.01
0.045,0,0,-0.09,-0.01,0.01,0.01
0.047,0,0,-0.09,-0.01,0.01,0.01
0.047,0.03,0,-0.05,-0.01,0.01,0.01
0.051,0.03,0,-0.05,-0.01,0.01,0.01
0.052,0.04,0,-0.02,-0.01,0.01,0.01
0.072,0.04,0,-0.02,-0.01,0.01,0.01
0.072,0.04,0,-0.02,-0.01,0.01,0.01
0.073,0.04,0,-0.02,-0.01,0.01,0.01
0.073,0.07,0,0.01,-0.01,0.01,0.01
0.074,0.07,0,0.01,-0.01,0.01,0.01
0.074,0.06,-0.02,0.02,-0.01,0.01,0.01
0.074,0.06,-0.02,0.02,-0.01,0.01,0.01
0.075,0.06,-0.02,0.02,-0.01,0.01,0.01
0.075,0.07,-0.01,0,-0.01,0.01,0.01
0.075,0.07,-0.01,0,-0.01,0.01,0.01
0.076,0.07,-0.01,0,-0.01,0.01,0.01
0.076,0.07,-0.01,0,0,0.01,0.01
0.076,0.07,-0.02,0,0,0.01,0.01
0.077,0.07,-0.02,0,-0.01,0.01,0.01
0.077,0.05,-0.01,-0.03,-0.01,0.01,0.01
0.078,0.05,-0.01,-0.03,0,0.01,0.01
0.08,0.05,-0.01,-0.03,0,0.01,0.01
0.081,0.06,-0.01,-0.04,0,0.01,0.01
0.081,0.06,-0.01,-0.04,0,0.01,0.01
0.084,0.06,-0.01,-0.04,0,0.01,0.01
0.086,0.03,-0.01,-0.04,0,0.01,0.01
0.086,0.03,-0.01,-0.04,0,0.01,0.01
0.09,0.03,-0.01,-0.04,0,0.01,0
0.091,0.03,-0.03,-0.02,0,0.01,0
0.091,0.03,-0.03,-0.02,0,0.01,0
0.093,0.03,-0.03,-0.02,0,0.01,0
0.096,0.03,-0.03,-0.02,0,0.01,0
0.096,0.02,-0.04,-0.01,0,0.01,0
0.098,0.02,-0.04,-0.01,0,0.01,0
0.1,-0.01,-0.03,-0.02,0,0.01,0
0.101,-0.01,-0.03,-0.02,0.01,0.01,0.01
0.104,-0.01,-0.03,-0.02,0.01,0.01,0
0.106,-0.01,-0.03,-0.02,0.01,0.01,0
0.107,-0.02,-0.05,-0.01,0.01,0.01,0
0.109,-0.02,-0.05,-0.01,0.01,0.01,0
0.112,-0.04,-0.02,0,0.01,0.01,0
0.112,-0.04,-0.02,0,0.01,0.01,0
0.114,-0.04,-0.02,0,0.01,0,0.01
0.115,-0.04,-0.02,0,0.01,0,0
0.115,-0.04,0,-0.02,0.01,0,0
0.119,-0.04,0,-0.02,0.01,0,0
0.121,-0.04,0,-0.02,0.01,0,0
0.122,-0.07,0,-0.01,0.01,0,0
0.123,-0.07,0,-0.01,0.01,0,0.01
0.126,-0.07,0,-0.01,0.01,0,0.01
0.126,-0.07,0.02,-0.03,0.01,0,0.01
0.127,-0.07,0.02,-0.03,0.01,0,0.01
0.13,-0.07,0.02,-0.03,0.01,0,0.01
0.13,-0.05,0.03,-0.05,0.01,0,0.01
0.133,-0.05,0.03,-0.05,0.01,0,0.01
0.135,-0.06,0.04,-0.06,0.01,0,0.01
0.135,-0.06,0.04,-0.06,0.01,0,0.01
0.137,-0.06,0.04,-0.06,0,0.01,0.01
0.139,-0.06,0.04,-0.06,0,0,0.01
0.14,-0.05,0.06,-0.05,0,0,0.01
0.142,-0.05,0.06,-0.05,0.01,0,0.01
0.145,-0.01,0.06,-0.05,0.01,0,0.01
0.146,-0.01,0.06,-0.05,0,0,0.01
0.147,-0.01,0.06,-0.05,0,0.01,0.01
0.149,-0.01,0.06,-0.03,0,0.01,0.01
0.152,-0.01,0.06,-0.03,0,0.01,0.01
0.152,-0.01,0.06,-0.03,0,0,0.01
0.155,-0.01,0.06,-0.03,0,0.01,0.01
0.155,0.02,0.04,-0.04,0,0.01,0.01
0.157,0.02,0.04,-0.04,0,0.01,0.01
0.16,0.04,0.04,-0.02,0,0.01,0.01
0.16,0.04,0.04,-0.02,0,0.01,0.01
0.163,0.04,0.04,-0.02,0,0.01,0.01
0.165,0.04,0.04,-0.02,0,0.01,0
0.165,0.04,0.02,-0.01,0,0.01,0
0.167,0.04,0.02,-0.01,0,0.01,0
0.17,0.05,0.02,0,0,0.01,0
0.17,0.05,0.02,0,0,0.01,0
0.171,0.05,0.02,0,0.01,0.01,0
0.174,0.06,0.01,-0.01,0.01,0.01,0
0.175,0.06,0.01,-0.01,0,0.01,0
0.176,0.06,0.01,-0.01,0,0.01,0
0.179,0.05,0.01,-0.03,0,0.01,0
0.179,0.05,0.01,-0.03,0,0.01,0
0.182,0.05,0.01,-0.03,0,0.01,0
0.184,0.05,0.01,-0.03,0,0.01,0
0.184,0.05,0.01,-0.02,0,0.01,0
0.187,0.05,0.01,-0.02,0,0.02,0
0.189,0.04,-0.01,-0.03,0,0.02,0
0.189,0.04,-0.01,-0.03,0,0.02,0
0.191,0.04,-0.01,-0.03,0.01,0.01,0
0.194,0.04,-0.01,-0.03,0,0.02,0
0.194,0.04,-0.02,-0.01,0,0.02,0
0.196,0.04,-0.02,-0.01,0,0.02,0
0.198,0.02,-0.02,-0.01,0,0.02,0
0.2,0.02,-0.02,-0.01,0,0.02,-0.01
0.202,0.02,-0.02,-0.01,0.01,0.02,-0.01
0.203,0.02,-0.02,-0.01,0,0.02,0
0.204,0.01,0,-0.03,0,0.02,0
0.206,0.01,0,-0.03,0,0.02,0
0.209,0.01,0,-0.02,0,0.02,0
0.21,0.01,0,-0.02,0.01,0.01,0
0.212,0.01,0,-0.02,0.01,0.02,0
0.214,0,-0.01,-0.03,0.01,0.02,0
0.216,0,-0.01,-0.03,0.01,0.02,0
0.256,0,-0.01,-0.03,0.01,0.01,0
0.256,0.01,0,-0.04,0.01,0.01,0
0.257,0.01,0,-0.04,0.01,0.01,0
0.257,0.01,0,-0.04,0.01,0.01,0
0.258,-0.01,0.02,-0.09,0.01,0.01,0
0.258,-0.01,0.02,-0.09,0,0.01,0
0.259,-0.01,0.02,-0.09,0,0.02,0
0.26,-0.01,0.03,-0.12,0,0.02,0
