time,ax,ay,az,wx,wy,wz
0,0.01,0.05,-0.11,-0.01,0.01,0
0,0.01,0.05,-0.11,-0.01,0.01,0
0.001,0,0.02,0.07,-0.01,0.01,0
0.001,0,0.02,0.07,-0.01,0,0
0.002,0,0.02,0.07,0,0,0
0.002,0,0.02,0.07,0,0,0
0.004,0.03,0.01,0.18,0,0,0
0.005,0.03,0.01,0.18,0,0,0
0.005,0.05,0.03,0.07,0,0,0
0.006,0.05,0.03,0.07,0,0,0
0.006,0.05,0.03,0.07,0,0,0
0.007,0.02,0.03,-0.02,0,0,0
0.007,0.02,0.03,-0.02,0,0.01,0
0.007,0.02,0.03,-0.02,0,0.01,0
0.008,0.03,0.01,-0.08,0,0.01,0
0.008,0.03,0.01,-0.08,0,0.01,0
0.008,0.03,0.01,-0.08,0,0.01,0
0.009,0.01,0,-0.12,0,0.01,0
0.009,0.01,0,-0.12,0,0.01,0
0.009,0.01,0,-0.12,-0.01,0.01,0
0.01,-0.01,0,-0.13,-0.01,0.01,0
0.01,-0.01,0,-0.13,-0.01,0.01,0
0.01,-0.01,0,-0.13,-0.01,0.01,0
0.011,0.01,-0.01,-0.11,-0.01,0.01,0
0.011,0.01,-0.01,-0.11,-0.01,0.01,0
0.013,0.01,-0.01,-0.11,-0.01,0.01,0
0.015,0.02,0,-0.09,-0.01,0.01,0
0.015,0.02,0,-0.09,-0.01,0.01,0
0.018,0.02,0,-0.09,-0.01,0.01,0
0.02,0.04,0.01,-0.05,-0.01,0.01,0
0.021,0.04,0.01,-0.05,-0.01,0.01,0
0.023,0.04,0.01,-0.05,-0.01,0.01,0
0.025,0.04,-0.01,-0.01,-0.01,0.01,0
0.025,0.04,-0.01,-0.01,-0.01,0.01,0
0.028,0.04,-0.01,-0.01,-0.01,0.01,0
0.03,0.03,-0.03,0.01,-0.01,0.01,0
0.03,0.03,-0.03,0.01,-0.01,0.01,0
0.033,0.03,-0.03,0.01,-0.01,0.01,0
0.035,0.03,-0.04,0.04,-0.01,0.01,0
0.035,0.03,-0.04,0.04,0,0.01,0
0.038,0.03,-0.04,0.04,0,0.01,0.01
0.04,0.03,-0.04,0.04,0,0.01,0.01
0.041,0.03,-0.03,0.03,0,0.01,0.01
0.043,0.03,-0.03,0.03,0,0.01,0.01
0.045,0.03,-0.03,0.03,0,0.01,0.01
0.045,0.05,-0.01,0.05,0,0.01,0.01
0.048,0.05,-0.01,0.05,0,0.01,0
0.049,0.05,-0.01,0.05,0,0.01,0.01
0.05,0.04,0,0,0,0.01,0.01
0.052,0.04,0,0,0,0.01,0
0.054,0.04,0,0,0,0.01,0.01
0.055,0.04,-0.02,-0.03,0,0.01,0.01
0.057,0.04,-0.02,-0.03,0,0.01,0.01
0.06,0.04,-0.01,-0.03,0,0.01,0.01
0.06,0.04,-0.01,-0.03,0,0.01,0
0.062,0.04,-0.01,-0.03,0,0.01,0
0.068,0.04,0.01,0,0,0.01,0
0.069,0.04,0.01,0,0,0.01,0
0.069,0.04,0.01,0,0,0.01,0
0.07,0.01,0.01,-0.01,0,0.01,0
0.07,0.01,0.01,-0.01,0,0.01,0
0.072,0.01,0.01,-0.01,0,0,0.01
0.075,0.01,0,-0.02,0,0,0.01
0.075,0.01,0,-0.02,0,0,0
0.076,0.01,0,-0.02,0,0.01,0
0.079,0.02,0.03,-0.01,0,0.01,0
0.08,0.02,0.03,-0.01,0,0,0
0.082,0.02,0.03,-0.01,0,0,0
0.084,0.01,0.04,-0.03,0,0,0
0.084,0.01,0.04,-0.03,0,0,0
0.086,0.01,0.04,-0.03,0,0.01,0
0.089,0.01,0.04,-0.03,0,0,0
0.089,0.01,0.04,-0.03,0,0,0
0.091,0.01,0.04,-0.03,0,0,0
0.094,0.01,0.04,-0.02,0,0,0
0.094,0.01,0.04,-0.02,0,0,0
0.096,0.01,0.04,-0.02,0,0,0
0.099,0,0.05,-0.03,0,0,0
0.099,0,0.05,-0.03,0,0,0
0.101,0,0.05,-0.03,0,0,0
0.104,0,0.05,-0.03,0,0,0
0.104,-0.01,0.05,-0.05,0,0,0
0.107,-0.01,0.05,-0.05,0,0,0
0.109,-0.01,0.04,-0.05,0,0,0
0.109,-0.01,0.04,-0.05,-0.01,0,0
0.111,-0.01,0.04,-0.05,-0.01,0,0
0.116,-0.01,0.04,-0.05,0,-0.01,0
0.116,-0.01,0.04,-0.05,0,-0.01,0
0.117,-0.02,0.03,-0.04,0,-0.01,0
0.118,-0.01,0.04,-0.05,0,-0.01,0
0.118,-0.01,0.04,-0.05,0,0,0
0.149,-0.01,0.04,-0.05,-0.01,0,0
0.15,-0.01,0.04,-0.05,0,0,0
0.15,-0.01,0.03,-0.03,0,0,0
0.151,-0.01,0.03,-0.03,0,0,0
0.151,-0.01,0.03,-0.03,0,0,0
0.152,0.01,0.03,-0.03,0,0,0
0.152,0.01,0.03,-0.03,0,-0.01,0
0.153,0.02,0.01,-0.01,0,-0.01,0
0.154,0.02,0.01,-0.01,0,-0.01,0
0.154,0.02,0.01,-0.01,0,0,0.01
0.155,0.02,0.01,-0.01,0,0,0
0.155,0.02,0,0,0,0,0
0.156,0.02,0,0,0,0,0
0.156,0.02,0,0,0,-0.01,0
0.157,0.02,-0.01,0,0,-0.01,0
0.157,0.02,-0.01,-0.02,0,-0.01,0
0.158,0.02,-0.01,-0.02,0,-0.01,0
0.158,0.02,-0.01,-0.02,0,0,0
0.159,0.02,-0.01,-0.02,0,0,0
0.159,0.01,-0.02,-0.01,0,0,0
0.16,0.01,-0.02,-0.01,0,0,0
0.16,0.01,-0.02,-0.01,0,0,0
0.161,0.01,-0.02,-0.01,0,-0.01,0
0.161,0.01,-0.02,-0.04,0,-0.01,0
0.162,0.01,-0.02,-0.04,0,0,0
0.163,0.03,0,-0.05,0,0,0
0.163,0.03,0,-0.05,0,0,0
0.166,0.03,0,-0.05,0,0,0
0.167,0.03,0,-0.05,0,0,0
0.168,0.03,0,-0.05,0,0,0
0.17,0.03,0,-0.05,0,0,0
0.171,0.03,0,-0.05,0,0,0
0.171,0.02,-0.01,-0.04,0,0,0
0.175,0.02,-0.01,-0.04,0,0,0
0.177,0.02,-0.01,-0.04,0,0,0
0.178,0.02,0,-0.04,0,0,0
0.179,0.02,0,-0.04,0,0,0
0.181,0.02,0.01,-0.03,0,0,0
0.181,0.02,0.01,-0.03,0,0,0
0.185,0.02,0.01,-0.03,0,0,0
0.186,0.01,0.01,0,0,0,0
0.186,0.01,0.01,0,0,0,0
0.189,0.01,0.01,0,0,0,0
0.191,0.03,0.02,-0.02,0,0,0
0.191,0.03,0.02,-0.02,0,0,0
0.194,0.03,0.02,-0.02,0,0,0
0.201,0.03,0.02,-0.02,0,0,0
0.203,0.02,0.02,-0.01,0,0,0
0.203,0.02,0.02,-0.01,0,0,0
0.204,0.02,0.03,0,0,0,0
0.204,0.02,0.03,0,0.01,0,0
0.205,0.02,0.03,0,0,0,0
0.206,0.02,0.03,0,0,0,0
0.207,0.03,0.04,-0.01,0,0,0
0.208,0.03,0.04,-0.01,0.01,-0.01,0
0.21,0.03,0.04,-0.01,0,0,-0.01
0.211,0.04,0.03,0,0,0,-0.01
0.214,0.04,0.03,0,0,0,0
0.215,0.04,0.03,0,0,0,0
0.216,0.05,0.04,-0.01,0,0,0
0.218,0.05,0.04,-0.01,0.01,0,0
0.22,0.04,0.02,-0.02,0.01,0,0
0.22,0.04,0.02,-0.02,0.01,0,0
0.222,0.04,0.02,-0.02,0.01,0,0
0.226,0.06,0.01,-0.02,0.01,0,0
0.227,0.06,0.01,-0.02,0.01,0,0
0.228,0.06,0.01,-0.02,0,0,-0.01
0.231,0.05,0,-0.01,0,0,-0.01
0.231,0.05,0,-0.01,0,0,-0.01
0.234,0.05,0,-0.01,0.01,0,-0.01
0.235,0.05,0,-0.01,0.01,0,-0.01
0.235,0.03,0,-0.02,0.01,0,-0.01
0.238,0.03,0,-0.02,0.01,0,0
0.24,0.02,0,0,0.01,0,0
0.241,0.02,0,0,0,0,-0.01
0.243,0.02,0,0,0.01,0,-0.01
0.245,0.02,-0.03,-0.01,0.01,0,-0.01
0.246,0.02,-0.03,-0.01,0.01,0,-0.01
0.248,0.02,-0.03,-0.01,0.01,0,-0.01
0.25,0.03,-0.01,-0.02,0.01,0,-0.01
0.251,0.03,-0.01,-0.02,0.01,0,-0.01
0.252,0.03,-0.01,-0.02,0.01,0,-0.01
0.255,0.03,-0.04,-0.01,0.01,0,-0.01
0.255,0.03,-0.04,-0.01,0.01,0,-0.01
0.258,0.03,-0.04,-0.01,0.01,0,-0.01
0.259,0.01,-0.04,-0.01,0.01,0,-0.01
0.26,0.01,-0.04,-0.01,0.01,0,-0.01
0.264,0.01,-0.04,-0.01,0.01,0,0
0.265,0.01,-0.04,-0.01,0.01,0,-0.01
0.266,0,-0.04,-0.01,0.01,0,-0.01
0.267,0,-0.04,-0.01,0.01,0,-0.01
0.27,0.03,-0.04,0,0.01,0,-0.01
0.271,0.03,-0.04,0,0.01,0,-0.01
0.272,0.03,-0.04,0,0.01,0.01,-0.01
0.275,0.03,-0.04,0,0.01,0.01,-0.01
0.275,0.03,-0.02,-0.01,0.01,0.01,-0.01
0.277,0.03,-0.02,-0.01,0.01,0.01,-0.01
0.28,0.02,-0.01,-0.01,0.01,0.01,-0.01
0.28,0.02,-0.01,-0.01,0.01,0.01,-0.01
0.282,0.02,-0.01,-0.01,0.01,0.01,-0.01
0.299,0.04,-0.02,0.01,0.01,0.01,-0.01
0.299,0.04,-0.02,0.01,0.01,0,-0.01
0.299,0.04,-0.02,0.01,0.01,0.01,-0.01
0.299,0.03,0,0,0.01,0.01,-0.01
0.3,0.03,0,0,0.01,0.01,-0.01
0.3,0.03,0,0,0.01,0,-0.01
0.3,0.03,0,0,0.01,0.01,-0.01
0.3,0.02,0.02,-0.01,0.01,0.01,-0.01
0.301,0.02,0.02,-0.01,0.01,0.01,-0.01
0.301,0.03,0,-0.01,0.01,0.01,-0.01
0.301,0.03,0,-0.01,0.01,0.01,-0.01
0.302,0.03,0,-0.01,0.01,0.01,-0.01
0.307,0.03,0,-0.01,0.01,0.01,-0.01
0.307,0.02,-0.01,-0.01,0.01,0.01,-0.01
0.307,0.02,-0.01,-0.01,0.01,0.01,-0.01
0.309,0.02,0.01,0,0.01,0.01,-0.01
0.309,0.02,0.01,0,0.01,0.01,-0.01
0.311,0.02,0.01,0,0.01,0.01,-0.01
0.313,0.02,0.01,0,0.01,0.01,-0.01
0.313,0.02,0.01,0,0.01,0.01,-0.01
0.316,0.02,0.01,0,0.01,0.01,-0.01
0.318,0.02,0.01,0,0.01,0.01,-0.01
0.319,0.04,0.01,0.02,0.01,0.01,-0.01
0.321,0.04,0.01,0.02,0.01,0.01,-0.01
0.323,0.04,0.01,0.02,0.01,0.01,-0.01
0.323,0.06,-0.01,0,0.01,0.01,-0.01
0.325,0.06,-0.01,0,0.01,0.01,-0.01
0.328,0.04,-0.01,0.02,0.01,0.01,-0.01
0.328,0.04,-0.01,0.02,0.01,0.01,-0.01
0.33,0.04,-0.01,0.02,0.01,0.01,-0.01
0.333,0.04,-0.01,0.02,0.02,0.01,-0.01
0.333,0.03,-0.01,0.02,0.02,0.01,-0.01
0.335,0.03,-0.01,0.02,0.02,0.01,-0.01
0.337,0.03,-0.01,0.02,0.02,0.01,-0.01
0.337,0.03,-0.01,0.02,0.02,0.01,-0.01
