time,ax,ay,az,wx,wy,wz
0.001,-0.01,-0.01,-0.12,-0.01,0.01,0
0.003,-0.01,-0.01,-0.12,-0.01,0.01,-0.01
0.019,-0.02,-0.04,-0.05,-0.01,0.01,-0.01
0.019,-0.02,-0.04,-0.05,-0.01,0.01,-0.01
0.02,-0.02,-0.04,-0.05,0,0.01,-0.01
0.02,0.03,-0.03,-0.01,0,0.01,-0.01
0.02,0.03,-0.03,-0.01,0,0.01,0
0.02,0.03,-0.03,-0.01,0,0.01,0
0.021,0.04,-0.02,0,0,0.01,0
0.021,0.04,-0.02,0,0,0.01,0
0.021,0.06,0,-0.01,0,0.01,0
0.022,0.06,0,-0.01,0,0.01,0
0.022,0.06,0,-0.01,0,0.01,0
0.023,0.06,0.01,0,0,0.01,0
0.025,0.06,0.01,0,0,0.01,0
0.025,0.06,0.01,0,0,0.01,0
0.028,0.06,0.01,0,0,0.01,0
0.028,0.07,-0.01,-0.02,0,0.01,0
0.031,0.07,-0.01,-0.02,0,0.01,0
0.032,0.05,-0.02,-0.07,0,0.01,0
0.033,0.05,-0.02,-0.07,0,0.01,0
0.036,0.05,-0.02,-0.07,0,0.01,0
0.037,0.03,-0.02,-0.07,0,0.01,0
0.037,0.03,-0.02,-0.07,0,0.01,0
0.041,0.03,-0.02,-0.07,0,0.01,0
0.043,0.03,-0.02,-0.09,0,0.01,0
0.044,0.03,-0.02,-0.09,0,0.01,0
0.045,0.03,-0.02,-0.09,0,0.01,0
0.047,0.03,-0.02,-0.09,0,0.01,0
0.047,0.03,-0.02,-0.09,0,0.01,0
0.049,0.03,-0.02,-0.09,0,0.01,0
0.053,0.03,-0.02,-0.09,0,0.01,0
0.053,0.01,-0.03,-0.08,0,0.01,0
0.054,0.01,-0.03,-0.08,0,0.01,0
0.057,0.01,-0.02,-0.04,0,0.01,0
0.057,0.01,-0.02,-0.04,0,0.01,0
0.059,0.01,-0.02,-0.04,0,0.01,0
0.061,0.01,0.03,0,0,0.01,0
0.061,0.01,0.03,0,0,0.01,0
0.063,0.01,0.03,0,0,0.01,0
0.066,0.01,0.03,0,0,0.01,0
