@ HyperIMU - ianovir
@ Date:Thu Jul 23 17:00:27 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595494827419,0.0,0.0,0.0,0.0,0.0,0.0
1595494827520,4.8828125E-4,-3.2043457E-4,-0.028900146,0.0,0.0,0.0
1595494827620,-0.9500122,0.112091064,0.087142944,0.13294673,-0.42822456,-0.2972244
1595494827721,-1.6549377,0.16706848,0.14578247,-0.27753317,-3.436204,-0.52187693
1595494827821,-1.8614197,0.083969116,0.12257385,0.42768297,-4.2636614,-0.6933801
1595494827922,-1.8247681,0.23913574,-0.032562256,-0.4255185,-2.1443605,-0.07129741
1595494828023,-1.4667816,0.15118408,-0.17674255,-0.2025814,0.04309225,0.9820497
1595494828123,-1.3629456,-0.15057373,-0.44552612,-0.80200005,4.334059,3.3035917
1595494828224,-0.69099426,9.0026855E-4,-0.20361328,-1.5346557,7.211358,7.5937724
1595494828325,-0.32814026,0.026550293,-0.037460327,-0.59426296,9.255498,9.771162
1595494828426,1.2051086,-0.3509369,0.37425232,-1.3591828,1.6127977,4.1030273
1595494828524,2.5111237,-0.012527466,-0.15597534,0.95722014,0.673728,0.15470982
1595494828625,4.044388,-0.25320435,0.35469055,0.40970433,-2.2920065,0.709491
1595494828727,-0.11312866,-0.7577667,-0.08755493,-0.57378215,9.818547,3.3629622
1595494828827,1.3785858,0.39064026,0.027297974,2.255908,-11.805402,-1.5167401
1595494828929,-0.06669617,0.4590454,-0.2793579,-0.4116007,-8.652113,1.2777709
1595494829030,-0.15342712,0.28189087,-0.23904419,0.39116716,-8.867707,0.7292636
1595494829130,-0.22064209,0.34786987,-0.100997925,1.0773574,-8.80163,0.64850587
1595494829231,-1.675705,-0.3509369,-0.05456543,-4.052191,23.642553,1.6712736
1595494829332,0.42564392,-0.7259979,0.16654968,-0.67212343,10.611605,-1.0191442
1595494829434,0.29858398,-0.4156952,0.07737732,1.5720786,-5.2715645,-0.31394136
1595494829530,-0.24873352,-0.15057373,0.022415161,0.49054813,-2.3891335,-0.3608553
1595494829633,-0.95854187,0.20126343,0.12867737,0.485936,-1.5194292,-1.6462319
1595494829736,-1.7392426,0.20004272,0.14334106,0.5831237,-5.261544,-1.9364557
1595494829835,-1.8308716,0.054656982,0.08226013,0.111543715,-4.0566816,-1.4731843
1595494829936,-1.483902,0.2086029,-0.08265686,1.1848717,-1.2743635,-0.9119992
1595494830036,-1.2810974,-0.057739258,-0.12541199,0.01545012,1.3352442,1.7339396
1595494830138,-0.39533997,0.024108887,-0.12908936,-1.2686868,6.9514327,9.039511
1595494830238,-0.60180664,0.038772583,0.22885132,-0.72703546,10.324151,11.2135725
1595494830339,0.35112,-0.005203247,0.3559265,-1.0210868,1.1673088,3.500648
1595494830440,2.3889465,-0.045532227,0.115234375,0.4257018,2.1388726,2.3556385
1595494830539,4.021179,0.0448761,0.2080841,-0.22548965,1.5883551,2.1412296
1595494830640,2.0175476,-0.39613342,-0.20483398,0.20436889,-1.0876741,0.21959507
1595494830740,1.9381256,-0.13102722,-0.07533264,1.1161056,-12.452706,-3.5761728
1595494830841,-0.23040771,-0.15423584,0.083465576,0.8445573,-7.3483744,1.2851162
1595494830942,-0.5578308,0.1878357,0.063934326,0.3213851,-8.626336,1.2251769
1595494831043,-1.0184174,-0.05406189,-0.13885498,0.1989826,-9.017436,0.705716
1595494831145,-0.9573364,-0.9214783,-0.18162537,-1.9135509,19.580248,1.1364336
1595494831245,0.47329712,-0.22999573,-0.025238037,-1.3714635,8.050998,-0.3145069
1595494831346,0.390213,0.029006958,0.044387817,0.62492716,-4.6701803,-0.034873605
1595494831447,0.021240234,0.10229492,-0.055786133,0.23735279,-2.1685162,-0.12570697
1595494831545,-0.7423248,0.15238953,0.034622192,0.66544855,0.18235874,-1.0648406
1595494831646,-1.5327606,0.115737915,0.048065186,0.25194174,-2.471201,-1.6678982
1595494831747,-1.689148,0.08152771,0.0016479492,0.59066665,-4.516609,-1.9669058
1595494831848,-1.3885956,0.12185669,-0.028900146,0.59113467,-2.762415,-1.3130116
1595494831949,-0.8217163,0.1401825,-0.10588074,0.27556014,-1.3439198,-0.9828954
1595494832049,-0.41610718,-0.08705139,-0.12664795,-0.66100013,0.40844727,0.8819947
1595494832150,-0.34158325,-0.23852539,-0.08631897,-0.5615742,7.1091213,6.254845
1595494832251,-0.24751282,-0.14691162,0.087142944,-0.4635173,11.245192,10.612986
1595494832352,0.6883087,0.2061615,0.40478516,0.5640205,1.7968831,4.2622356
1595494832453,2.387741,-0.0015411377,0.11402893,0.087070465,2.336007,1.6836743
1595494832552,3.7096405,-0.00642395,-0.17062378,0.41244853,4.191189,2.8254073
1595494832653,1.3798065,-0.5781708,-0.2744751,1.7522923,-4.783675,-0.42664492
1595494832754,0.3547821,-0.17012024,-0.177948,1.6806672,-12.134366,-2.7180264
1595494832854,-0.08868408,0.13650513,-0.10708618,1.4411345,-6.79214,0.837605
