@ HyperIMU - ianovir
@ Date:Thu Jul 23 17:01:28 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595494889002,0.0,0.0,0.0,0.0,0.0,0.0
1595494889104,-0.30859375,0.0949707,0.01751709,0.13233721,0.5186186,-0.17808747
1595494889203,-0.99398804,0.14382935,0.03829956,0.059285343,-0.43230724,-0.1414975
1595494889304,-1.8528595,0.18415833,0.15434265,0.1924991,-5.005414,-0.4067739
1595494889404,-1.9530487,0.123062134,0.011413574,0.82285106,-3.4142094,-0.8231127
1595494889506,-1.8003235,-0.08705139,-0.11076355,0.21121341,-2.0552592,-0.37294054
1595494889607,-1.4460144,-0.0015411377,-0.2537079,-0.73731583,0.77492476,0.61181664
1595494889708,-1.0611877,-0.17990112,-0.2720337,-0.8138776,6.4827366,6.813028
1595494889809,-0.2621765,0.13162231,-0.021575928,-0.64414847,11.312231,10.320194
1595494889910,0.50871277,0.18415833,0.44877625,-1.2852138,3.1108046,4.9961967
1595494890011,1.8306274,-0.23243713,0.32537842,-1.2914093,-0.18628979,2.36594
1595494890109,3.379776,0.048553467,0.018737793,0.59177476,3.2663908,2.2203193
1595494890210,2.2423553,-0.4242401,-0.23171997,-0.5985692,-30.037151,-7.2913404
1595494890311,-0.38435364,0.4211731,0.0211792,0.8145765,-12.148875,-2.249467
1595494890412,-0.06791687,-0.22021484,-0.067993164,-0.080195606,-9.244588,0.3582269
1595494890513,-0.13999939,-0.19088745,0.18365479,0.7021349,-9.163019,-0.5049015
1595494890615,0.038360596,-0.06385803,0.027297974,0.33362818,-9.004627,0.14758849
1595494890716,-1.8479767,-0.25076294,0.5660553,0.4261732,8.817944,0.47422165
1595494890818,0.81170654,0.18904114,-0.29890442,0.2677052,7.6676826,0.24162436
1595494890919,0.17886353,0.1768341,0.035858154,0.49353504,-7.871955,0.16440487
1595494891020,-0.22064209,0.043655396,-0.12420654,0.12405217,-2.5244303,-0.016990274
1595494891119,-0.9891052,-0.44622803,0.12989807,1.1035048,-0.093159676,-0.5178554
1595494891220,-1.238327,0.4517212,-0.024017334,-0.041399002,-1.7076912,-1.0191658
1595494891320,-1.4655762,0.29167175,-0.048446655,0.23812592,-2.2694387,-1.1642861
1595494891421,-1.522995,-0.06262207,-0.16574097,-0.49586856,-0.8049154,-1.1180363
1595494891522,-1.2810974,-0.11148071,-0.23048401,-0.48276532,0.78036594,1.0864468
1595494891622,-0.72888184,-0.27153015,-0.270813,1.2171656,3.8659034,5.513532
1595494891723,0.02003479,0.091308594,-0.09976196,-1.315449,12.164728,11.33065
1595494891826,0.6614227,0.21714783,0.5709381,-0.15691364,2.585822,4.85748
1595494891926,1.2955017,-0.06629944,0.15310669,0.3861339,2.2242775,2.0213456
1595494892027,2.8275604,0.32221985,0.28018188,-0.6056334,5.1173983,2.946816
1595494892126,2.5734253,0.08641052,0.15678406,0.4740516,-24.407753,-5.2590275
1595494892227,-0.40023804,-0.17378235,0.11647034,1.2027339,-9.4674425,-1.7501671
1595494892327,0.49038696,0.32466125,-0.21704102,0.81845444,-7.3018055,0.38953346
1595494892428,-0.4588623,0.56044006,0.018737793,0.8040808,-9.287403,-0.44536424
1595494892529,-0.7264404,0.4749298,-0.08387756,0.1259281,-9.009991,-0.037943244
1595494892629,-2.3745422,-1.4065094,0.25697327,0.95543754,16.702606,-0.3770182
1595494892730,0.6675415,-0.06994629,-0.08387756,-0.3081529,8.734546,1.2055056
1595494892831,0.6101227,-0.29229736,-0.100997925,0.1006825,3.3642416,-0.020183206
1595494892931,0.19963074,-0.04309082,-0.04600525,0.558676,-4.155961,-0.40044856
1595494893032,-0.37091064,0.06564331,0.04562378,1.158416,-4.3972063,-0.56604445
1595494893132,-0.902359,-0.056518555,0.05050659,1.3050289,-2.35744,-1.6119851
1595494893233,-1.3641663,0.1609497,-0.008132935,0.56720984,-3.3648462,-2.086098
1595494893334,-1.6304932,0.19148254,-0.08143616,0.08721101,-2.8423386,-1.6188478
1595494893435,-1.278656,0.12918091,-0.07899475,0.8457931,-1.003017,-0.3816991
1595494893536,-0.65312195,-0.017425537,-0.17430115,-0.12319529,4.8097205,4.328506
1595494893637,-0.20352173,-0.003982544,-0.177948,-2.2646165,15.561745,12.148016
1595494893738,0.34378052,-0.00642395,0.38768005,-0.1114012,3.0813584,5.0140123
1595494893838,0.94732666,-0.19088745,0.36813354,-0.17872179,1.6297507,1.663559
1595494893939,2.7261505,0.34786987,0.046829224,-2.1379254,0.76778316,2.548922
1595494894040,2.4598083,0.49813843,-0.14253235,0.3889414,-14.754786,-3.5375762
1595494894139,0.012710571,0.018005371,-0.024017334,-1.899951,-3.4345655,0.503175
1595494894240,1.3199463,-0.16035461,0.10668945,1.8635432,-8.194572,-0.18270957
1595494894341,-0.31837463,0.31243896,-0.021575928,0.56351995,-8.584911,0.12792695
1595494894442,-1.0929413,0.25990295,0.11891174,0.964049,-8.57912,-0.2329033
1595494894543,-2.6262054,-0.8689575,-8.087158E-4,0.44715828,15.356902,-2.9571948
1595494894645,-0.552948,-0.13224792,-0.2879181,-0.25274146,10.180709,3.956011
1595494894745,0.56858826,-0.20188904,-0.113204956,-0.19694436,7.249405,0.68240356
1595494894846,0.17518616,-0.22509766,-0.025238037,0.25425267,-0.69932556,-0.6741097
1595494894947,-0.105789185,-0.25564575,0.0028533936,0.79170334,-5.4832544,-1.5811796
