@ HyperIMU - ianovir
@ Date:Thu Jul 23 17:04:29 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595495069532,0.0,0.0,0.0,0.0,0.0,0.0
1595495069636,-0.33425903,0.1401825,0.0016479492,-0.1688177,0.22416687,-0.23628736
1595495069733,-0.6897888,0.1426239,-8.087158E-4,0.14646536,-0.15345383,-0.24874663
1595495069833,-1.3568268,0.29045105,-0.02279663,-0.26831603,-2.9087791,-0.031405568
1595495069934,-1.7844391,-0.2592926,0.12623596,1.4591343,-5.1471252,-0.20332399
1595495070034,-2.0617676,0.21592712,-0.041122437,-0.23906672,-3.87579,-0.69930756
1595495070136,-1.9481659,-0.104141235,-0.11564636,0.4111657,0.09442854,1.5714102
1595495070237,-0.91944885,-0.112701416,-0.3453369,-1.0886142,3.612598,5.231694
1595495070338,-0.5627136,-0.024765015,-0.17918396,-3.3602686,16.19747,13.880096
1595495070439,0.03224182,0.008239746,0.3241577,-1.5371864,4.471775,6.2332726
1595495070540,1.3199463,-0.28497314,0.42311096,0.08931613,1.809288,2.2661633
1595495070639,3.6155548,-0.076049805,-0.052124023,0.01928246,3.098401,1.6748753
1595495070740,2.0016632,0.032669067,0.5868225,0.3540269,-18.57991,-4.2196
1595495070840,0.4342041,0.063201904,0.115234375,-0.13577184,-13.710689,-0.85006416
1595495070941,0.83247375,0.22692871,-0.16694641,0.7516412,-7.785325,1.2963452
1595495071042,-0.26950073,0.8414612,0.056610107,0.23151343,-9.331148,1.4825091
1595495071143,0.45741272,0.51890564,0.23008728,-0.78135633,-10.349612,0.7695042
1595495071243,-1.1491394,-0.19699097,-0.07533264,-0.2580949,30.889393,-2.1732445
1595495071344,0.50871277,-0.35827637,-0.004470825,5.242984,10.945601,-5.6040792
1595495071445,-0.62257385,-0.25564575,-0.38563538,-0.24620283,-10.252286,3.011836
1595495071546,-0.72888184,-0.52931213,-0.5835571,-1.5945497,7.7015038,0.07501328
1595495071645,-0.4222107,-0.7431183,-0.1461792,0.060705543,-0.80195427,-1.3879659
1595495071746,-1.5694122,-0.7321167,0.055374146,2.1716683,-3.0302782,-0.8270258
1595495071847,-1.675705,0.13650513,0.22276306,1.4079465,-8.380984,-2.121316
1595495071948,-1.9163971,0.24157715,0.22640991,-0.5554219,-0.98886585,-1.3781502
1595495072049,-1.7368011,-0.014984131,0.11279297,-0.8319715,2.79256,1.6088967
1595495072149,-0.968338,0.17803955,0.04562378,0.016407847,3.1454802,5.8224745
1595495072250,0.03956604,0.38819885,0.21786499,-0.97676015,10.657612,10.57452
1595495072351,0.66386414,-0.15301514,0.25941467,-0.6037591,4.4345293,6.342902
1595495072451,2.1775818,-0.05897522,-0.05456543,0.16082162,3.227211,2.8970718
1595495072552,4.04805,0.19760132,-0.17918396,1.8616426,5.6756277,2.0119443
1595495072651,2.3999481,-0.26908875,0.046829224,-1.6192648,-14.752513,-4.3844995
1595495072751,1.1586609,-0.23120117,-0.2940216,1.8242666,-13.3430395,-1.86487
1595495072852,-0.089904785,-0.1212616,-0.21948242,1.5282031,-7.390072,2.4689932
1595495072953,-0.5248413,0.4187317,-0.12664795,1.7719171,-9.567165,0.6851826
1595495073053,-0.4295349,0.7131653,0.08470154,0.038240314,-9.151978,1.5199851
1595495073154,-0.70199585,0.18171692,-0.12420654,-3.049202,30.269766,1.1813169
1595495073255,0.7860565,0.42240906,0.32781982,3.8272133,7.581813,-6.5764265
1595495073356,-0.75697327,-0.35827637,0.13233948,-0.15182972,-1.747551,1.8795922
1595495073457,-0.6286926,-0.123703,-0.08999634,-0.24262989,-5.9871416,0.23710316
1595495073557,-1.4790192,-3.2043457E-4,-0.2097168,1.0910265,-2.3175182,-0.026597142
1595495073658,-1.4411316,-0.0027618408,-0.09365845,0.82032186,-2.5085773,-1.0631866
1595495073759,-1.6109619,0.071762085,-0.111968994,0.95595247,-3.404481,-1.4256389
1595495073859,-1.416687,0.09741211,0.016296387,1.5206329,-2.6240387,0.39239597
1595495073960,-0.723999,-0.00642395,-0.05822754,0.27706492,4.260575,3.906304
1595495074061,-0.8412628,-0.31062317,-0.20115662,-1.8760418,14.768546,9.747444
1595495074162,-0.07891846,-0.047973633,0.043182373,-0.045813203,5.0403714,6.5785427
1595495074263,1.6033936,-0.09315491,0.26306152,0.2341516,2.1413112,3.323701
1595495074364,3.5447083,0.31365967,0.0211792,-0.6751239,2.2458096,3.9484944
1595495074465,2.238678,-0.09805298,0.12623596,0.0037406683,-22.018051,-5.2967567
1595495074565,0.542923,0.1878357,-0.18283081,0.5484316,-9.066442,-1.5405681
1595495074666,0.6516571,0.41629028,0.10058594,0.96118855,-7.8602533,0.7387033
1595495074767,-0.26338196,0.55067444,0.04927063,0.30364555,-9.531248,0.6889923
1595495074868,-0.539505,0.4346161,-0.009353638,0.5320328,-9.066218,0.45270044
1595495074969,-1.9762573,0.115737915,-0.48338318,-2.880548,30.159897,2.642009
1595495075070,-0.26583862,-0.32406616,0.07249451,0.3316604,12.204257,2.1549401
1595495075170,0.0066070557,-0.3069458,-0.059448242,1.5371475,2.6451263,0.42871332
1595495075271,0.19595337,0.06564331,-0.05456543,0.29115254,-8.426731,-1.0399606
1595495075373,-0.64334106,-0.19699097,-0.13641357,0.36750257,-1.8730984,-0.31673717
1595495075474,-0.9475708,0.06564331,-0.07167053,1.5966122,-4.3963842,-2.0762382
1595495075575,-1.0843964,0.28312683,-0.032562256,0.5914401,-4.396369,-1.7653198
1595495075676,-1.43013,-0.15545654,0.0370636,0.85749173,0.81532764,-0.26878357
1595495075775,-1.4875641,-0.3985901,-0.088760376,-0.040293217,5.9359827,5.0408697
1595495075875,-0.35868835,-0.047973633,0.040740967,0.8901545,4.210162,5.5993295
1595495075976,0.52215576,0.12185669,0.3168335,0.5288155,8.157461,7.6095195
1595495076077,1.0267334,0.13285828,0.44143677,0.096491635,3.1866288,3.8265314
1595495076178,2.5734253,-0.16401672,-0.1327362,-0.39086533,3.1211157,2.3091822
1595495076279,3.4371948,-0.23608398,-0.09365845,1.2092175,-1.8697405,-1.0346018
1595495076380,0.7237549,-0.46211243,0.19953918,1.7406406,-5.0035124,2.9969876
1595495076482,1.0694885,-0.06262207,-0.28668213,1.1830239,-13.124104,-2.2752905
1595495076583,-0.18031311,0.14750671,-0.20483398,0.3472681,-7.7297,2.0135188
1595495076681,-0.31471252,0.36131287,-0.1620636,1.1613256,-9.167508,0.5148717
1595495076783,-1.0001068,-0.03819275,0.06149292,-0.13632143,-8.556019,2.2852945
1595495076884,-1.8223114,0.28433228,-0.21095276,2.6043825,19.114853,2.3733623
1595495076986,0.18251038,-0.035751343,0.08102417,0.13770664,4.4159517,0.16708112
1595495077087,0.50016785,0.35643005,0.055374146,0.37259924,-6.272214,-0.4613043
1595495077187,-0.14733887,0.11941528,-0.10708618,0.5218446,-1.6211958,-0.38298565
1595495077288,-0.96466064,-0.07728577,0.07249451,1.2355735,-4.806697,-1.4492147
1595495077389,-1.3666229,-0.032089233,0.17633057,-0.0640254,-3.7603455,-2.6980915
1595495077490,-1.6647034,-0.123703,0.07737732,-0.060420394,-2.8120642,-1.5407021
1595495077591,-1.4508972,-0.30329895,-0.14497375,0.098831534,0.9319868,0.34209204
1595495077690,-1.1002808,-0.2935028,-0.1938324,0.47203583,7.10219,8.055294
1595495077791,0.12020874,0.16583252,0.0065307617,-0.093925714,10.254131,9.332395
1595495077891,0.83981323,0.1084137,0.30950928,0.8461965,4.5663166,4.91349
1595495077992,2.3461914,0.37963867,0.2239685,0.95595163,3.4753351,4.251527
1595495078093,3.536148,-0.13102722,0.022415161,1.6104844,2.6541557,-0.06639123
1595495078194,1.4958649,-0.29597473,-0.19750977,1.8960775,-10.46674,-2.8231547
1595495078296,0.073776245,0.33566284,-0.20239258,1.2869855,-13.154406,-2.377163
1595495078397,0.25460815,0.21958923,0.05781555,1.0753291,-6.857218,1.2051994
1595495078498,0.09210205,0.20980835,0.19587708,0.68254477,-10.21585,0.192621
1595495078599,-0.59936523,-0.044296265,0.044387817,0.46628422,-7.2003937,0.85448366
1595495078698,-1.5914001,-0.63926697,-0.4699402,-6.657689,29.754997,-4.3649287
1595495078799,-0.1302185,0.56533813,-0.24760437,-1.3402319,1.8881588,-0.5386175
1595495078900,-0.36602783,0.1878357,-0.1486206,0.6644325,-5.4772005,-0.50536466
1595495079000,-1.0049896,-0.12736511,-0.080215454,0.568974,-5.3338833,-1.190635
1595495079102,-1.304306,-0.29962158,0.06881714,1.343832,-4.773637,-1.7122848
1595495079203,-1.4496918,-0.023529053,0.11767578,0.86736417,-2.1118755,-1.5187986
1595495079304,-1.4008331,-0.052856445,-0.07899475,0.13593185,3.2169828,1.3745842
1595495079406,-0.7276459,-0.030853271,-0.19262695,-0.032580018,7.534487,7.1121316
1595495079508,0.11898804,-0.044296265,0.0040893555,-0.6816299,8.790414,8.274025
1595495079607,0.6895447,-0.14447021,0.3376007,-0.39718914,2.857862,3.5726237
1595495079710,1.8184052,-0.3753662,-0.020355225,-0.95258415,4.446245,2.7408643
