@ HyperIMU - ianovir
@ Date:Sun Jul 19 20:43:28 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595162608846,0.0,0.0,0.0,0.0,0.0,0.0
1595162608947,-0.21342468,0.09811401,0.04776001,-0.14314425,0.13936234,-0.3724491
1595162609049,-0.08270264,0.43652344,0.061187744,-0.06747377,-0.12242508,0.007962197
1595162609148,-0.19021606,0.6454468,0.12838745,-1.2136272,0.38657665,-0.14547034
1595162609248,-0.58483887,0.52449036,0.007461548,0.018798351,0.28915977,-0.13205399
1595162609349,-1.3093109,0.38519287,-0.05607605,1.8508701,0.8610363,-0.60358655
1595162609450,-1.7589111,0.3742218,0.20169067,1.3929683,-0.7037296,-1.5103114
1595162609551,-1.7198181,0.9924011,0.13815308,1.0632665,-2.181736,-1.3186283
1595162609652,-2.292801,1.4615479,0.16748047,1.0683253,-0.7316818,-2.2179198
1595162609753,-2.3600006,1.3540497,0.33119202,0.6135975,-0.2765484,-1.9141841
1595162609854,-2.489502,1.088913,0.036758423,-2.5840056,-2.3908315,-1.0775728
1595162609952,-1.7357025,1.259964,0.037994385,-3.3490314,-3.6353755,0.5561514
1595162610053,-1.2176971,1.2171936,-0.2344513,-1.9883235,-1.9154083,0.9299154
1595162610155,-0.627594,0.7138519,-0.43727112,-2.3878384,-1.8357581,2.9818764
1595162610255,-0.14744568,-0.1547699,-0.2393341,-4.447119,-2.1463885,6.306799
1595162610356,0.36198425,-0.67523193,0.20779419,-0.74179935,-1.5364428,3.3221111
1595162610457,0.9875183,-0.44309998,0.3360901,-0.48090124,-1.6335182,-0.99748516
1595162610560,1.2563019,-0.50175476,0.12104797,-1.5177648,-0.7424146,-1.6173725
1595162610662,1.2037659,-0.6520233,0.037994385,-2.0045323,-0.45678473,-2.558794
1595162610761,0.8726654,-2.0227966,-0.21366882,0.2739929,1.0094664,-3.420783
1595162610863,-0.014297485,-0.47364807,0.10272217,3.0940313,1.0782549,-2.7502193
1595162610959,-0.41622925,0.48538208,0.37394714,1.1762929,-0.48916245,-3.901842
1595162611062,-1.1321564,0.85801697,0.3043213,2.0534713,0.068899155,-1.71418
1595162611163,-1.182251,1.181778,0.18702698,1.3513485,-0.6574514,-0.49662113
1595162611264,-1.2628937,0.843338,-0.22467041,-2.2155025,-0.90687764,0.3745365
1595162611365,-0.6911316,0.6344452,-0.2539978,-2.358001,-0.14222741,1.4998808
1595162611465,-0.33926392,0.79203796,-0.2674408,-1.6866009,-0.9718232,3.7988024
