@ HyperIMU - ianovir
@ Date:Sun Jul 19 20:39:08 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595162348050,0.0,0.0,0.0,0.0,0.0,0.0
1595162348150,-0.065597534,0.01991272,0.020889282,-0.07388002,0.059113503,-0.25526172
1595162348251,-0.009414673,0.04434204,0.01966858,0.11252451,0.15778732,0.050733417
1595162348352,-0.25375366,0.15917969,0.122283936,0.2326935,0.11575985,-0.103768826
1595162348453,-0.47854614,0.48660278,0.30187988,0.025088668,0.30156708,-0.33789974
1595162348554,-0.72410583,0.9337616,0.31532288,-1.5906384,0.7408266,-0.500134
1595162348654,-1.3936157,0.83969116,0.10028076,-1.8186607,0.10873604,-1.274302
1595162348756,-1.6929321,0.47683716,-0.04508972,0.07082003,-0.76176167,-0.8431339
1595162348857,-2.2989197,0.69918823,0.011108398,3.157594,-0.09211826,-0.71003675
1595162348960,-2.077774,1.036377,-0.05973816,0.5554738,-2.6915946,-1.3510275
1595162349059,-2.1804047,1.1121216,0.050201416,0.24604446,-2.2481294,-1.9895387
1595162349161,-2.0203705,0.5440216,-0.042633057,-0.811877,0.3303666,-0.4739113
1595162349262,-1.9263,0.8543396,-0.17337036,-1.9326763,-2.418267,1.5988855
1595162349363,-1.2066956,0.49150085,0.094177246,-0.54060054,-1.936466,1.4920826
1595162349463,-0.7302246,0.612442,-0.037750244,-0.9852834,-1.7577143,2.427043
1595162349567,-0.16333008,0.04434204,-0.14892578,-4.1825166,-2.6326075,5.395733
1595162349667,0.25447083,-0.44554138,0.069747925,-1.8508205,-1.5755942,2.1129942
1595162349767,0.790802,-0.19509888,0.2566681,-1.1902134,-1.1032426,-1.7256413
1595162349868,0.72605896,-0.074157715,-0.070739746,-0.95986867,0.341818,-2.5994968
1595162349969,0.44750977,-0.7631836,-0.45803833,-2.3009694,-0.13502868,-1.2500229
1595162350072,0.37786865,-0.77297974,-0.12083435,2.070785,0.01703316,-0.32754517
1595162350166,0.5244751,-0.0851593,-0.0010986328,1.8821983,1.4526782,-2.9873362
1595162350269,-0.3209381,0.41331482,0.15892029,2.9574199,-0.26359093,-3.2311535
1595162350370,-0.75587463,0.7627106,0.31776428,1.6340711,0.5361109,-1.8128538
1595162350470,-1.1089478,0.85313416,-0.40794373,-1.5329225,-1.130137,0.71405697
1595162350572,-0.6080475,0.5171509,-0.15992737,0.1494906,-1.7413181,2.2436447
1595162350673,-0.08882141,0.32533264,-0.118392944,-1.5750742,-0.9934169,2.7196236
1595162350773,0.31433105,-0.11691284,-0.1538086,-1.3780355,-0.5814074,3.0117912
1595162350876,0.5843353,-0.77053833,-0.15992737,-1.2352188,-0.59070575,2.0913296
1595162350977,0.98384094,-0.897583,0.34217834,0.0847218,-0.56818473,-0.10283184
1595162351077,1.0913544,-0.0032958984,0.45703125,-1.7372987,-0.82128376,-2.776865
1595162351178,0.5635681,-0.32704163,0.013549805,-2.0233426,1.0217391,-3.2585611
1595162351279,0.26179504,-0.85849,-0.14648438,-1.2059205,-0.11930323,-3.0154867
1595162351381,-0.21466064,-0.38201904,0.078308105,4.006454,0.332353,-0.869071
1595162351481,-0.42234802,0.61976624,0.17480469,1.4367194,0.6949359,-1.8364458
1595162351582,-0.92814636,0.6430054,-0.04385376,2.3046672,0.052423775,-1.0818672
