
time,ax,ay,az,wx,wy,wz,
0.16,-0.01,0.03,-0.01,-0.01,0.01,-0.01,
0.16,-0.01,0.03,-0.01,-0.01,0.01,-0.01,
0.16,-0.06,-0.08,0.04,-0.01,0.01,-0.01,
0.16,-0.06,-0.08,0.04,-0.01,0.01,-0.01,
0.162,-0.06,-0.08,0.04,-0.01,0.01,-0.01,
0.164,-0.08,-0.15,0.07,-0.01,0.01,-0.01,
0.164,-0.08,-0.15,0.07,-0.01,0.01,-0.01,
0.173,-0.08,-0.15,0.07,-0.01,0.01,-0.01,
0.173,-0.08,-0.15,0.07,-0.01,0.01,-0.01,
0.174,-0.09,-0.19,0.11,-0.01,0.01,-0.01,
0.174,-0.09,-0.19,0.11,-0.01,0.01,-0.01,
0.174,-0.09,-0.19,0.11,-0.01,0.01,-0.01,
0.174,-0.08,-0.18,0.11,-0.01,0.01,-0.01,
0.178,-0.08,-0.18,0.11,-0.01,0.01,-0.01,
0.18,-0.05,-0.15,0.09,-0.01,0.01,-0.01,
0.18,-0.05,-0.15,0.09,-0.01,0.01,-0.01,
0.183,-0.05,-0.15,0.09,-0.00,0.01,-0.01,
0.19,-0.02,-0.12,0.07,-0.00,0.01,-0.01,
0.191,-0.02,-0.12,0.07,-0.01,0.01,-0.02,
0.211,-0.02,-0.12,0.07,-0.01,0.02,-0.02,
0.211,-0.02,-0.12,0.07,-0.01,0.02,-0.02,
0.212,-0.02,-0.08,0.04,-0.01,0.02,-0.02,
0.212,-0.02,-0.08,0.04,-0.01,0.02,-0.02,
0.212,-0.02,-0.08,0.04,-0.01,0.02,-0.02,
0.213,-0.01,-0.02,0.03,-0.01,0.02,-0.02,
0.213,-0.01,-0.02,0.03,-0.01,0.02,-0.02,
0.213,-0.00,0.02,0.02,-0.01,0.02,-0.02,
0.214,-0.00,0.02,0.02,-0.01,0.02,-0.02,
0.214,-0.00,0.02,0.02,-0.01,0.02,-0.02,
0.215,0.01,0.04,0.01,-0.01,0.02,-0.02,
0.215,0.01,0.04,0.01,-0.01,0.02,-0.02,
0.215,0.01,0.04,0.01,-0.01,0.02,-0.01,
0.215,0.01,0.07,-0.01,-0.01,0.02,-0.01,
0.216,0.01,0.07,-0.01,-0.02,0.02,-0.01,
0.216,0.01,0.07,-0.01,-0.01,0.02,-0.01,
0.216,0.01,0.07,-0.01,-0.02,0.02,-0.01,
0.216,-0.01,0.09,0.01,-0.02,0.02,-0.01,
0.217,-0.01,0.09,0.01,-0.02,0.03,-0.02,
0.219,-0.01,0.09,0.01,-0.01,0.02,-0.01,
0.219,-0.02,0.08,0.02,-0.01,0.02,-0.01,
0.221,-0.02,0.08,0.02,-0.01,0.03,-0.01,
0.223,-0.03,0.06,0.02,-0.01,0.03,-0.01,
0.223,-0.03,0.06,0.02,-0.01,0.03,-0.01,
0.225,-0.03,0.06,0.02,-0.01,0.03,-0.01,
0.228,-0.03,0.06,0.02,-0.01,0.03,-0.01,
0.228,-0.04,0.05,0.05,-0.01,0.03,-0.01,
0.23,-0.04,0.05,0.05,-0.01,0.03,-0.01,
0.233,-0.04,0.05,0.05,-0.01,0.03,-0.01,
0.233,-0.02,0.01,0.07,-0.01,0.03,-0.01,
0.238,-0.02,0.01,0.07,-0.00,0.03,-0.01,
0.238,-0.02,-0.02,0.10,-0.00,0.03,-0.01,
0.239,-0.02,-0.02,0.10,-0.00,0.03,-0.01,
0.24,-0.02,-0.02,0.10,-0.00,0.03,-0.01,
0.243,-0.02,-0.07,0.11,-0.00,0.03,-0.01,
0.243,-0.02,-0.07,0.11,-0.00,0.03,-0.01,
0.245,-0.02,-0.07,0.11,0.00,0.03,-0.02,
0.247,-0.01,-0.09,0.12,0.00,0.03,-0.02,
0.248,-0.01,-0.09,0.12,0.00,0.03,-0.02,
0.25,-0.01,-0.09,0.12,0.00,0.03,-0.02,
0.255,-0.01,-0.09,0.12,0.01,0.03,-0.02,
0.256,-0.01,-0.14,0.14,0.01,0.03,-0.02,
